,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.6606350758264032,0.7444551694551693,0.8282752630839354,0.8231366459627327,0.37192523471068,0.3028130034578569,0.30769230769230765,0.20482625174012936
1,1,RandomForestClassifier,0.6540428523180288,0.7436293436293435,0.8337376966073469,0.8394409937888198,0.44077805834977657,0.33806301639581415,0.16666666666666666,0.07113429940295787
2,2,RandomForestClassifier,0.6561986008344854,0.7503673316173316,0.8467979707340539,0.8232919254658384,0.38823466983079846,0.3114247568297339,0.2564102564102564,0.11106775622528142
3,3,RandomForestClassifier,0.6659784922727987,0.7481284856284856,0.8334322204078326,0.824223602484472,0.440361152940543,0.32971403467795096,0.27027027027027023,0.22755839596089147
4,4,RandomForestClassifier,0.6546230522483744,0.7435220935220934,0.832793316489377,0.8236024844720495,0.33428125535928654,0.29706888747668575,0.1714285714285714,0.14000486595492567
5,5,RandomForestClassifier,0.6568219001059512,0.7471846846846846,0.8375474692634179,0.8218944099378881,0.3495849056603773,0.28955398644882496,0.0,-0.17013204077378394
6,6,RandomForestClassifier,0.7186346404771458,0.794240669240669,0.8698466980041923,0.8302795031055898,0.3289510006901311,0.32788996993934005,0.2222222222222222,0.1867275359327644
7,7,RandomForestClassifier,0.676910125472044,0.7590626340626341,0.8412151426532241,0.8240683229813662,0.3872200714532912,0.3055549820404845,0.0625,0.1309087345221607
8,8,RandomForestClassifier,0.6552100746214675,0.7462194337194337,0.8372287928173996,0.8251552795031055,0.3832657788712468,0.3136060701917111,0.2162162162162162,0.12114619641083431
9,9,RandomForestClassifier,0.6611932582635234,0.7465572715572715,0.8319212848510198,0.8249999999999998,0.3554552590266875,0.31758142885057383,0.1176470588235294,0.08356510178876833
