,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1,MCC
0,0,LGBM,,0.8127627831276278,,0.8109090909090909,0.573529411764706,0.4650987792215086
1,1,LGBM,,0.8473698019152565,,0.8254545454545454,0.657142857142857,0.5465410130248415
2,2,LGBM,,0.8268730650154799,,0.8,0.6099290780141845,0.502007068113279
3,3,LGBM,,0.8514185827618663,,0.8363636363636363,0.6715328467153284,0.5667427359929907
4,4,LGBM,,0.7902670111972437,,0.7636363636363637,0.5185185185185186,0.4068427422827916
5,5,LGBM,,0.8041977354322011,,0.8109090909090909,0.5970149253731343,0.47296544912210475
6,6,LGBM,,0.8349825783972127,,0.8218181818181818,0.588235294117647,0.4914316244124558
7,7,LGBM,,0.8354399611084102,,0.7890909090909091,0.5815602836879433,0.48549468457807354
8,8,LGBM,,0.8555476360180565,,0.8254545454545454,0.6918238993710691,0.5983591152123329
9,9,LGBM,,0.8960571211929736,,0.8472727272727273,0.6818181818181819,0.6201634406970399
