,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test
0,0,LGBM,0.7877289679387326,0.8601726726726726,0.9326163774066126,0.875,0.5818181818181818,0.5529776244593213
1,1,LGBM,0.7877289679387326,0.8601726726726726,0.9326163774066126,0.875,0.5818181818181818,0.5529776244593213
2,2,LGBM,0.7877289679387326,0.8601726726726726,0.9326163774066126,0.875,0.5818181818181818,0.5529776244593213
3,3,LGBM,0.7877289679387326,0.8601726726726726,0.9326163774066126,0.875,0.5818181818181818,0.5529776244593213
4,4,LGBM,0.7877289679387326,0.8601726726726726,0.9326163774066126,0.875,0.5818181818181818,0.5529776244593213
5,5,LGBM,0.7877289679387326,0.8601726726726726,0.9326163774066126,0.875,0.5818181818181818,0.5529776244593213
6,6,LGBM,0.7877289679387326,0.8601726726726726,0.9326163774066126,0.875,0.5818181818181818,0.5529776244593213
7,7,LGBM,0.7877289679387326,0.8601726726726726,0.9326163774066126,0.875,0.5818181818181818,0.5529776244593213
8,8,LGBM,0.7877289679387326,0.8601726726726726,0.9326163774066126,0.875,0.5818181818181818,0.5529776244593213
9,9,LGBM,0.7877289679387326,0.8601726726726726,0.9326163774066126,0.875,0.5818181818181818,0.5529776244593213
