,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test
0,0,RandomForestClassifier,0.6448710260560214,0.7333065208065206,0.8272671582603238,0.8212732919254657,0.3516585179526356,0.30474085675915086
1,1,RandomForestClassifier,0.6969403007229217,0.7769278206778206,0.8569153406327196,0.8333850931677017,0.46989687274428815,0.3410762256688392
2,2,RandomForestClassifier,0.677006953226772,0.765685328185328,0.8554376294889509,0.8285714285714285,0.4777588475938829,0.37387547527899534
3,3,RandomForestClassifier,0.6865143864596026,0.7715277777777778,0.8565411690959529,0.8265527950310558,0.40856491256775024,0.3257218559020274
4,4,RandomForestClassifier,0.6742651274515327,0.7543597168597168,0.8403452284757427,0.8270186335403726,0.4606735906295877,0.33299433385598354
5,5,RandomForestClassifier,0.6574427375998748,0.7429885242385241,0.8325461857619085,0.8237577639751551,0.38059711502246407,0.31848584000107927
6,6,RandomForestClassifier,0.6507550878032611,0.73887012012012,0.8269851524369789,0.8178571428571427,0.3476496483902273,0.2792909027835674
7,7,RandomForestClassifier,0.6867481410998564,0.7686212998712998,0.8535263243565088,0.8298136645962731,0.4065250937776377,0.3424132807092389
8,8,RandomForestClassifier,0.6518879694940921,0.7415460102960102,0.8351884888644903,0.8352484472049688,0.3671580061849029,0.36074716821857
9,9,RandomForestClassifier,0.6533561695631012,0.7398192835692835,0.8333974846735436,0.8242236024844718,0.40569238283984455,0.30420068245167314
