,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test
0,0,RandomForestClassifier,0.7004317710257754,0.7785285285285286,0.8566252860312819,0.8152173913043478,0.43333333333333335,0.3378124364824987
1,1,RandomForestClassifier,0.7413038323584015,0.8085585585585585,0.8758132847587156,0.7934782608695652,0.3666666666666667,0.2564544674867137
2,2,RandomForestClassifier,0.6937847939383368,0.7697072072072071,0.8456296204760774,0.782608695652174,0.39393939393939387,0.2644421863653187
3,3,RandomForestClassifier,0.6468804326345549,0.731418918918919,0.8159574052032831,0.75,0.303030303030303,0.1531829738091785
4,4,RandomForestClassifier,0.6928468691607758,0.7705518018018017,0.8482567344428277,0.7717391304347826,0.2222222222222222,0.11428584350263792
5,5,RandomForestClassifier,0.6846433689700036,0.7611674174174173,0.8376914658648311,0.8043478260869565,0.4,0.2971334519846062
6,6,RandomForestClassifier,0.7102411838558695,0.7898836336336336,0.8695260834113976,0.7989130434782609,0.39344262295081966,0.284221593109076
7,7,RandomForestClassifier,0.7369101482167167,0.8085585585585585,0.8802069689004003,0.8043478260869565,0.4,0.2971334519846062
8,8,RandomForestClassifier,0.688491261779186,0.7630442942942942,0.8375973268094025,0.7880434782608695,0.380952380952381,0.26007862137619125
9,9,RandomForestClassifier,0.7421061561358177,0.8079016516516517,0.8736971471674858,0.7989130434782609,0.3508771929824561,0.25383045283363265
