,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.7367566393153937,0.7995638103278457,0.8623709813402978,0.7890909090909091,0.5915492957746479,0.4498687311080395,0.4143078146164775,0.5574003795066415,0.7004929443968054,0.49230769230769234,0.3529411764705882,-0.03593573104529901
1,1,RandomForestClassifier,0.6707634771895601,0.7335534360479334,0.7963433949063068,0.7054545454545454,0.49056603773584906,0.28852231298863495,0.4848594292885182,0.6261859582542694,0.7675124872200205,0.6307692307692307,0.5384615384615384,0.26244812417468893
2,2,RandomForestClassifier,0.743351198718803,0.802929608029296,0.8625080173397891,0.7781818181818182,0.5673758865248226,0.4189599289456924,0.5242589789494717,0.6584440227703986,0.7926290665913255,0.6461538461538462,0.5106382978723403,0.31242084541423226
3,3,RandomForestClassifier,0.7145684778420522,0.7786069651741294,0.8426454525062066,0.7563636363636363,0.54421768707483,0.3779913754733084,0.4939935788260487,0.6323529411764707,0.7707123035268926,0.5846153846153846,0.4489795918367347,0.1662624460141203
4,4,RandomForestClassifier,0.7294076042385569,0.7874623493975903,0.8455170945566237,0.7490909090909091,0.5369127516778522,0.3724445562890342,0.4150083697184229,0.5588235294117646,0.7026386891051063,0.5846153846153846,0.425531914893617,0.16941130349926678
5,5,RandomForestClassifier,0.6878005333171362,0.76,0.8321994666828638,0.7636363636363637,0.5695364238410596,0.409881892095459,0.46387316106508947,0.6038899430740038,0.7439067250829181,0.5692307692307692,0.4615384615384615,0.1307174054769686
6,6,RandomForestClassifier,0.7048072059107235,0.7648411371237458,0.824875068336768,0.7381818181818182,0.5555555555555556,0.37975845728350754,0.47380521089935324,0.6162239089184062,0.7586426069374591,0.6153846153846154,0.3902439024390244,0.27581484965833075
7,7,RandomForestClassifier,0.7021716283187142,0.7642522452167123,0.8263328621147105,0.7490909090909091,0.5106382978723405,0.3480436019271476,0.44270518939635173,0.583965844402277,0.7252264994082022,0.5692307692307692,0.36363636363636365,0.13860924831758192
8,8,RandomForestClassifier,0.6365420477583452,0.7025225225225225,0.7685029972866997,0.7090909090909091,0.4736842105263158,0.2913338723445814,0.4836580420965462,0.6219165085388995,0.7601749749812527,0.5846153846153846,0.37209302325581395,0.18076437841857593
9,9,RandomForestClassifier,0.7008467869849877,0.7636702568351285,0.8264937266852692,0.7381818181818182,0.5135135135135136,0.3353271141498127,0.5161533273341787,0.6518026565464897,0.7874519857588007,0.6461538461538462,0.5306122448979592,0.3039319872996976
