,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.6569945076347736,0.7428571428571428,0.828719778079512,0.8211180124223602,0.3767141406103305,0.31362659371954893,0.16666666666666666,0.07113429940295787
1,1,RandomForestClassifier,0.657826996566947,0.7433344058344057,0.8350920839034037,0.8315217391304346,0.36685457884342204,0.338476410501277,0.1714285714285714,0.14000486595492567
2,2,RandomForestClassifier,0.6577957475990819,0.7444042256542256,0.8339617226774031,0.8211180124223602,0.3316910688625332,0.29439388127302046,0.16666666666666666,0.07113429940295787
3,3,RandomForestClassifier,0.6664863963948012,0.750254719004719,0.8342178180909114,0.8222049689440992,0.3386994549372544,0.30224108503430064,0.2285714285714286,0.2681783347868999
4,4,RandomForestClassifier,0.6620028327723797,0.753110253110253,0.8456284292390632,0.8254658385093167,0.3344567005321722,0.3025569349763345,0.12121212121212122,0.18659643181640817
5,5,RandomForestClassifier,0.6631525319700645,0.7505174817674816,0.8378824315648987,0.8201863354037265,0.34019823313940956,0.2758904599640181,0.0,-0.11935796382902888
6,6,RandomForestClassifier,0.6673439053498575,0.7589741527241526,0.8506044000984476,0.8307453416149067,0.43059110702762676,0.32992483440255715,0.0,
7,7,RandomForestClassifier,0.6838727726766824,0.7694444444444443,0.8584276409461334,0.8249999999999998,0.38018729569749976,0.30177468131639534,0.1176470588235294,0.08356510178876833
8,8,RandomForestClassifier,0.7020841351162915,0.7836738524238522,0.8661082874320947,0.8284161490683228,0.49686151270232815,0.3749148610479103,0.358974358974359,0.2985847472549773
9,9,RandomForestClassifier,0.6481060540510848,0.7403716216216214,0.8326371891921582,0.8223602484472048,0.37420652925416986,0.29825468229230984,0.16666666666666666,0.07113429940295787
