,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.5706772723868198,0.6594406906906908,0.7482041089945618,0.40217391304347827,0.3820224719101124,0.2029434780192808,0.6444444444444444,0.09167820268928002
1,1,RandomForestClassifier,0.5957418656181841,0.6898460960960962,0.7839503265740082,0.391304347826087,0.3707865168539326,0.170302219316879,0.5842696629213483,-0.16509747577712403
2,2,RandomForestClassifier,0.5835053980648045,0.6696696696696697,0.7558339412745348,0.375,0.37837837837837834,0.20412820041639262,0.5869565217391305,-0.2681783347868999
3,3,RandomForestClassifier,0.6188244102523841,0.7035472972972973,0.7882701843422104,0.45108695652173914,0.41618497109826585,0.2888743877805113,0.6086956521739131,-0.14000486595492567
4,4,RandomForestClassifier,0.6084326071959972,0.697728978978979,0.7870253507619608,0.3804347826086957,0.3804347826086957,0.2087087087087087,0.6382978723404255,-0.008232195521312127
5,5,RandomForestClassifier,0.6207130504055685,0.7125563063063063,0.8043995622070441,0.41304347826086957,0.38636363636363635,0.21225655479359182,0.6304347826086957,-0.011831397122951465
6,6,RandomForestClassifier,0.6105156203270503,0.6938813813813813,0.7772471424357124,0.45108695652173914,0.40935672514619886,0.26613993998621194,0.6086956521739131,-0.14000486595492567
7,7,RandomForestClassifier,0.5968508056463241,0.6849662162162162,0.7730816267861084,0.40217391304347827,0.3820224719101124,0.2029434780192808,0.6086956521739131,-0.14000486595492567
8,8,RandomForestClassifier,0.6282793151258141,0.7209084084084084,0.8135375016910027,0.391304347826087,0.37777777777777777,0.19350911893873574,0.6067415730337079,-0.06573325424459568
9,9,RandomForestClassifier,0.6438187746170989,0.7269144144144144,0.8100100542117299,0.41304347826086957,0.38636363636363635,0.21225655479359182,0.6136363636363635,-0.01730926071043347
