,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.7394193002069593,0.7896254487627399,0.8398315973185204,0.5321848739495798,0.5461716565566594,0.34593329127117034,0.75,0.47525588897968785
1,1,RandomForestClassifier,0.7306527521141974,0.7831560369129941,0.8356593217117908,0.6631932773109243,0.546774785673998,0.3159951604476767,0.5614035087719298,0.22634795467253557
2,2,RandomForestClassifier,0.7239977536652045,0.7769757607883765,0.8299537679115487,0.6248739495798319,0.5519513299795891,0.3237318698327154,0.6774193548387096,0.38330170777988615
3,3,RandomForestClassifier,0.7311914850526391,0.7820163602631134,0.8340651381584728,0.5989915966386553,0.5351676197253497,0.29556759399618826,0.676470588235294,0.3330267052784327
4,4,RandomForestClassifier,0.7066364503571274,0.7613383369876875,0.8160402236182475,0.5449579831932772,0.5262212869826923,0.29965312428292495,0.7246376811594202,0.4298466409757644
5,5,RandomForestClassifier,0.7103411086292135,0.7636694937715345,0.8169978789138553,0.7365546218487393,0.5503479737517585,0.3208743626604479,0.6176470588235294,0.20862017744453543
6,6,RandomForestClassifier,0.7247009346496327,0.7777293207719923,0.8307577068943518,0.6324369747899159,0.5338523277172416,0.3073353741623106,0.6,0.15089863644835705
7,7,RandomForestClassifier,0.7415837103822329,0.7921873117605954,0.8427909131389579,0.557142857142857,0.5283495996014387,0.30530745866029385,0.7042253521126761,0.37500790630501557
8,8,RandomForestClassifier,0.734721955533056,0.786739512806303,0.8387570700795501,0.6469747899159664,0.5282072530390585,0.3065482987710078,0.7027027027027026,0.35752164711988077
9,9,RandomForestClassifier,0.7363992021136913,0.78726236657591,0.8381255310381288,0.504033613445378,0.5304574677585583,0.30814101797073445,0.6944444444444445,0.3476045138405155
