,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.6926354728781553,0.7481236296171361,0.8036117863561169,0.6,0.5310344827586208,0.28366881009421274,0.5901639344262295,0.22813729441205696
1,1,RandomForestClassifier,0.686003527099402,0.741925282509698,0.797847037919994,0.6294117647058823,0.5434782608695653,0.3080571039441283,0.5714285714285715,0.16872045494058663
2,2,RandomForestClassifier,0.6788705866859541,0.7365702479338843,0.7942699091818144,0.6,0.5342465753424657,0.2896851616892782,0.5714285714285715,0.16872045494058663
3,3,RandomForestClassifier,0.6912369234569937,0.7483133749367515,0.8053898264165094,0.6294117647058823,0.55,0.3195135916208843,0.5423728813559322,0.1645994060571564
4,4,RandomForestClassifier,0.6978593090109175,0.7534997470062405,0.8091401850015634,0.6323529411764706,0.5454545454545455,0.3117235050873069,0.5161290322580645,0.07495256166982922
5,5,RandomForestClassifier,0.6888933778100348,0.7461840107944004,0.8034746437787661,0.611764705882353,0.5319148936170213,0.28622817253290145,0.5333333333333333,0.13441525425751283
6,6,RandomForestClassifier,0.6799751345598728,0.7377298026648675,0.7954844707698623,0.6205882352941177,0.5376344086021505,0.29710849399822004,0.5396825396825397,0.10710905285554094
7,7,RandomForestClassifier,0.6915125297993608,0.7481657952437172,0.8048190606880735,0.611764705882353,0.5384615384615384,0.2979314573310077,0.6129032258064516,0.25996204933586337
8,8,RandomForestClassifier,0.6556049385105611,0.7151079440040478,0.7746109494975344,0.6235294117647059,0.5187969924812029,0.26724538588666735,0.5483870967741935,0.1366223908918406
9,9,RandomForestClassifier,0.7171239384341205,0.7710195648507336,0.8249151912673468,0.6323529411764706,0.5551601423487544,0.32892341623199284,0.5245901639344263,0.1045629266055261
