,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.657005387392808,0.7481955169455168,0.8393856464982258,0.8288819875776395,0.3934247840629925,0.335474240125836,0.27027027027027023,0.22755839596089147
1,1,RandomForestClassifier,0.6439468269068234,0.7349099099099098,0.8258729929129962,0.8246894409937886,0.3946330141817729,0.3128513052916887,0.27777777777777773,0.30232077246257094
2,2,RandomForestClassifier,0.6697819765430522,0.7628217503217503,0.8577373001173745,0.8374223602484471,0.4018251313903487,0.3786070022539013,0.12121212121212122,0.18659643181640817
3,3,RandomForestClassifier,0.650937172485952,0.7369449806949805,0.8229527889040091,0.8237577639751551,0.33717598343685296,0.30476573402633544,0.06060606060606061,0.008232195521312127
4,4,RandomForestClassifier,0.6488173107499807,0.7380711068211067,0.8273249028922326,0.8253105590062111,0.3514041514041513,0.302996306596627,0.2162162162162162,0.12114619641083431
5,5,RandomForestClassifier,0.6658015076344388,0.7543597168597167,0.8446520946474743,0.8364906832298136,0.3891508590589989,0.3672185087243631,0.16666666666666666,0.07113429940295787
6,6,RandomForestClassifier,0.6415006524032876,0.7361781424281424,0.8350025456548167,0.8285714285714285,0.3351431117901706,0.3197665388338147,0.16216216216216214,0.014733996860777147
7,7,RandomForestClassifier,0.6460582581163518,0.7403045903045903,0.8378159041316331,0.8274844720496893,0.4420631994733376,0.3605455239624371,0.1714285714285714,0.14000486595492567
8,8,RandomForestClassifier,0.6494820447234584,0.7438438438438438,0.8382056429642291,0.8262422360248447,0.38427914191072077,0.322997669121874,0.16666666666666666,0.07113429940295787
9,9,RandomForestClassifier,0.6514604548639097,0.7394492706992706,0.8274380865346314,0.8228260869565216,0.3508604131945535,0.2952977018560099,0.0,
