,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.6979168893216566,0.7593589743589743,0.8208010593962919,0.6654545454545454,0.5779816513761469,0.3659680366004623,0.6168035870457984,0.7419354838709679,0.8670673806961373,0.6615384615384615,0.56,0.33444831376397804
1,1,RandomForestClassifier,0.7665267146098521,0.8218732895457033,0.8772198644815544,0.7018181818181818,0.5773195876288659,0.4005489509339953,0.557985592695644,0.6878557874762808,0.8177259822569177,0.6,0.5,0.1965827648258288
2,2,RandomForestClassifier,0.6959056081654369,0.7569967369477912,0.8180878657301456,0.6545454545454545,0.5454545454545454,0.3016148841794977,0.5713296864278938,0.700189753320683,0.8290498202134722,0.676923076923077,0.5882352941176471,0.3644909863166043
3,3,RandomForestClassifier,0.788205113424763,0.836515209367443,0.8848253053101229,0.7381818181818182,0.6470588235294118,0.4776470131040375,0.6465063941011042,0.7637571157495257,0.8810078373979471,0.7538461538461538,0.7037037037037037,0.5173228176742486
4,4,RandomForestClassifier,0.6868158968002891,0.748974358974359,0.811132821148429,0.6618181818181819,0.5463414634146342,0.31574088695053054,0.6664457455434503,0.7784629981024668,0.8904802506614833,0.6923076923076923,0.6153846153846153,0.39417884287240923
5,5,RandomForestClassifier,0.7224994131671644,0.7828815261044177,0.8432636390416711,0.6836363636363636,0.5915492957746479,0.37705113644607346,0.5641673054760707,0.6949715370018977,0.8257757685277247,0.6615384615384615,0.56,0.33444831376397804
6,6,RandomForestClassifier,0.7205837100483118,0.7783622492924819,0.836140788536652,0.6872727272727273,0.6055045871559633,0.3881021496078775,0.6594950179705131,0.7751423149905122,0.8907896120105113,0.7076923076923077,0.5957446808510638,0.4554303873291977
7,7,RandomForestClassifier,0.6804335131061803,0.7469969000258331,0.8135602869454859,0.6509090909090909,0.5294117647058824,0.29197849638131146,0.6206735269891929,0.7405123339658445,0.8603511409424961,0.6461538461538462,0.5818181818181819,0.29065236185534626
8,8,RandomForestClassifier,0.7495734676045116,0.8062,0.8628265323954885,0.6909090909090909,0.5641025641025641,0.3666941583046654,0.5865527286951482,0.7129981024667932,0.8394434762384382,0.676923076923077,0.5714285714285714,0.37276675794248626
9,9,RandomForestClassifier,0.7492380767811428,0.8027940816825629,0.856350086583983,0.7127272727272728,0.6108374384236452,0.4006067998648413,0.5563209958280377,0.687381404174573,0.8184418125211084,0.6153846153846154,0.5098039215686274,0.23101541386263652
