,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.7636636884513099,0.816717288922258,0.8706042896732183,0.7613506493506496,0.4829934362242926,0.43001890239992296,0.6511369597730764,0.7673624288425049,0.8852341321201582,0.5740659340659342,0.22228991596638664,0.23984518760980295
1,1,RandomForestClassifier,0.7894411078198198,0.8401972267351798,0.8912292038462356,0.8165194805194808,0.5895042375574784,0.5023174740660452,0.6394639096755708,0.7574139333152619,0.8753639569549531,0.5872527472527473,0.2716050630778628,0.26989240712603
2,2,RandomForestClassifier,0.775385515358694,0.8283141665613551,0.884441413691896,0.8145454545454548,0.6027501901685209,0.5295894928010877,0.6404085503180417,0.7563160748170239,0.872223599316007,0.6101098901098903,0.3059243156722149,0.33090537509593476
3,3,RandomForestClassifier,0.6956515847346957,0.7557181528942329,0.8168066606733466,0.7699740259740262,0.5063322775277502,0.42256362222693133,0.6421320214909627,0.7616291677961511,0.8811263141013392,0.6202197802197804,0.610227272727273,0.28943173340289674
4,4,RandomForestClassifier,0.775435161878466,0.8294761904761907,0.8839083153547965,0.824727272727273,0.5674727270671062,0.5231644232317127,0.6303542944922031,0.7494171862293306,0.8684800779664581,0.6101098901098903,0.3453927025355598,0.29476481435641155
5,5,RandomForestClassifier,0.7151557458083648,0.7761056535290175,0.8370555612496703,0.8019740259740262,0.5069027707150934,0.41530487488239987,0.6243836900212953,0.7452155055570617,0.8660473210928281,0.5925274725274727,0.42343629929305626,0.27051447347959723
6,6,RandomForestClassifier,0.7711244911555363,0.824324635117205,0.8775247790788738,0.7903376623376626,0.5684131368711358,0.47538148115873097,0.6609047375303282,0.7755895906749799,0.8902744438196317,0.6021978021978023,0.4255490983877255,0.24352846253233226
7,7,RandomForestClassifier,0.799606422316071,0.8491030517470148,0.8985996811779586,0.8132987012987015,0.6087862246465378,0.5422186907215206,0.6262424478355305,0.7481431282190298,0.870043808602529,0.6043956043956046,0.30187036976952947,0.3096571935343343
8,8,RandomForestClassifier,0.75135452562483,0.8066957774845476,0.8620370293442653,0.7682077922077925,0.5289890326384548,0.4296208235435372,0.6333980423651456,0.75363242071022,0.8738667990552942,0.6109890109890113,0.35541769336377815,0.28635068639921146
9,9,RandomForestClassifier,0.7718018874962342,0.8225183547103054,0.8732348219243764,0.7904415584415587,0.5595806076492527,0.47988143452238086,0.6585711591888748,0.7794795337489837,0.9003879083090928,0.6000000000000002,0.29895397835247467,0.2815153110382159
