,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.7248611943494847,0.7870061942302693,0.8491511941110539,0.7546346782988003,0.5410436432193079,0.3535960917540142,0.5862068965517241,0.25771565946645386
1,1,RandomForestClassifier,0.7303388411103027,0.7917092610239971,0.8535086289267058,0.7366412213740456,0.5319285894210615,0.33811730434978593,0.6206896551724138,0.32022132314301915
2,2,RandomForestClassifier,0.7313248587444621,0.7904844927661784,0.8533522149868529,0.7201744820065429,0.5433575610138628,0.36247984719569093,0.6461538461538462,0.29506641366223907
3,3,RandomForestClassifier,0.7342442157153491,0.7937288833058994,0.8540093519111676,0.7478735005452561,0.5492183796148032,0.3755922734349679,0.6666666666666667,0.35355466119572365
4,4,RandomForestClassifier,0.7385204914995026,0.7987958069825866,0.8590711224656709,0.731842966194111,0.5412002562547241,0.35716465046697493,0.6666666666666666,0.3279473607173319
5,5,RandomForestClassifier,0.7432894227637332,0.801329810274625,0.8593701977855169,0.7622682660850599,0.5424428469336062,0.3800913218967428,0.2285714285714286,0.2681783347868999
6,6,RandomForestClassifier,0.7376608312544101,0.7960029888243955,0.8558085400285897,0.7664122137404579,0.529362223132988,0.3424400041071394,0.6557377049180327,0.3517116622185878
7,7,RandomForestClassifier,0.7259945760909803,0.7898964740535387,0.8537983720160972,0.7498364231188657,0.5318768533054247,0.33896440256987315,0.6571428571428573,0.27664750015532125
8,8,RandomForestClassifier,0.7270636526801438,0.7892770510265961,0.8514904493730482,0.7615049073064338,0.5384109759078498,0.352512827372514,0.6440677966101694,0.3512091978080023
9,9,RandomForestClassifier,0.7441172463820185,0.8033158624274449,0.8625144784728714,0.7844056706652125,0.5399910351973296,0.3511892400915906,0.6557377049180327,0.3517116622185878
