,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test
0,0,RandomForestClassifier,0.6951976122964509,0.7786974474474474,0.8621972825984437,0.8447204968944098,0.46483683193117153,0.4242576494795135
1,1,RandomForestClassifier,0.6652459508214454,0.7500536250536249,0.8366677179673934,0.8413043478260867,0.412780243337685,0.37408931211618
2,2,RandomForestClassifier,0.662023937579375,0.7506032818532817,0.8391826261271884,0.822670807453416,0.34496046887267523,0.2891408884786558
3,3,RandomForestClassifier,0.6675044105042593,0.7550085800085798,0.8425127495129004,0.8285714285714285,0.37262991737575524,0.3272681498243497
4,4,RandomForestClassifier,0.6669022234386367,0.7514237451737449,0.8369821174263381,0.8281055900621117,0.3923963161658478,0.3403914339678476
5,5,RandomForestClassifier,0.6865264488409025,0.7734126984126983,0.8602989479844941,0.8256211180124222,0.3731364060775825,0.32971337257274747
6,6,RandomForestClassifier,0.63414296533819,0.7304536679536678,0.8267643705691458,0.8246894409937887,0.40155173704025776,0.31531222312842944
7,7,RandomForestClassifier,0.6852632613030241,0.7745200557700557,0.8653107740120913,0.8249999999999997,0.4072224680019355,0.3107750682953466
8,8,RandomForestClassifier,0.6647592194142157,0.7501340626340625,0.8393476382222851,0.8453416149068315,0.3665688088900156,0.33238697446355997
9,9,RandomForestClassifier,0.6786897460338948,0.7620227370227369,0.8453557280115789,0.8249999999999998,0.34843696675994806,0.30380695395471974
