,Model name,Iteration,chi-squared,p-value
0,RandomForestClassifier,0,6,0.07835388183593749
1,RandomForestClassifier,1,15,0.49955983320251085
2,RandomForestClassifier,2,8,0.38331031799316395
3,RandomForestClassifier,3,9,0.16863754391670224
4,RandomForestClassifier,4,13,0.5846647117286928
5,RandomForestClassifier,5,10,1.0
6,RandomForestClassifier,6,11,0.9999999999999998
7,RandomForestClassifier,7,9,0.8238029479980463
8,RandomForestClassifier,8,7,0.48068237304687483
9,RandomForestClassifier,9,9,0.3074562549591064
