,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.697489647200794,0.7774962462462464,0.8575028452916987,0.8097826086956522,0.46153846153846156,0.3506471613188583,0.5306122448979592,0.3039319872996976
1,1,RandomForestClassifier,0.6973249723509081,0.7704579579579579,0.8435909435650077,0.7934782608695652,0.3448275862068966,0.24049736748020692,0.40816326530612246,0.09742767537133164
2,2,RandomForestClassifier,0.7288461087452681,0.7997372372372372,0.8706283657292063,0.7989130434782609,0.4126984126984127,0.29879582714740416,0.4444444444444444,0.2489913958244677
3,3,RandomForestClassifier,0.6678091137740435,0.7474662162162162,0.827123318658389,0.7554347826086957,0.3283582089552239,0.1806247163589746,0.4897959183673469,0.23509721665690894
4,4,RandomForestClassifier,0.675544866468294,0.7568506006006006,0.8381563347329072,0.8152173913043478,0.4848484848484848,0.3757013989214589,0.4489795918367347,0.1662624460141203
5,5,RandomForestClassifier,0.6571041221084087,0.7390202702702703,0.8209364184321318,0.8097826086956522,0.36363636363636365,0.2828505017145909,0.4583333333333333,0.2027180707648119
6,6,RandomForestClassifier,0.7148678569437407,0.7886636636636637,0.8624594703835867,0.7934782608695652,0.40625000000000006,0.28688818780987185,0.48000000000000004,0.1990019561648592
7,7,RandomForestClassifier,0.7427197554949245,0.8096846846846848,0.8766496138744451,0.7989130434782609,0.3728813559322034,0.26926023193385334,0.47826086956521735,0.2811830073421282
8,8,RandomForestClassifier,0.742350645832593,0.8076201201201201,0.8728895944076471,0.782608695652174,0.31034482758620685,0.19827263883864388,0.4,0.17406342948840103
9,9,RandomForestClassifier,0.7186815486800537,0.7933558558558558,0.8680301630316578,0.782608695652174,0.375,0.2487469836501779,0.4186046511627908,0.26015413921051805
