,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test
0,0,RandomForestClassifier,0.7337237583820884,0.7960441393052063,0.8583645202283245,0.7647764449291166,0.5376612745619576,0.34556239045624265
1,1,RandomForestClassifier,0.7324630374940874,0.794624447717231,0.8567858579403747,0.760741548527808,0.5420664257284242,0.356198028369751
2,2,RandomForestClassifier,0.7317997706328936,0.792900459152733,0.8540011476725724,0.7495092693565975,0.5387551578686778,0.3531702015547472
3,3,RandomForestClassifier,0.7268192970863692,0.7884388807069218,0.8500584643274746,0.7406215921483094,0.5365479787719569,0.34589751047997463
4,4,RandomForestClassifier,0.735814643640678,0.7979121545525424,0.8609739559139685,0.7676117775354415,0.5473720727005914,0.3655244812470064
5,5,RandomForestClassifier,0.7322508299581901,0.795076020098761,0.857901210239332,0.7825517993456923,0.5360445628973078,0.3475783854916049
6,6,RandomForestClassifier,0.7510134794100473,0.8094126310317938,0.8684364461310636,0.7630316248636858,0.54420995957709,0.34953122046454455
7,7,RandomForestClassifier,0.7454902849991012,0.804909902105171,0.8643295192112413,0.7551799345692474,0.5430280448974245,0.35669949333955386
8,8,RandomForestClassifier,0.7258047156616403,0.7873548904097719,0.8497329726819627,0.7713195201744815,0.537891942701628,0.34873784035810046
9,9,RandomForestClassifier,0.7372716809496306,0.7991488347916484,0.8610259886336664,0.7519083969465647,0.5332437279341116,0.34771694545723597
