,Model name,Iteration,chi-squared,p-value
0,RandomForestClassifier,0,16,0.5113757815852297
1,RandomForestClassifier,1,18,0.8714146793645341
2,RandomForestClassifier,2,18,0.18392482137699037
3,RandomForestClassifier,3,23,1.0
4,RandomForestClassifier,4,18,0.6358280026288411
5,RandomForestClassifier,5,36,3.391921457762278e-06
6,RandomForestClassifier,6,19,0.6439689563703725
7,RandomForestClassifier,7,19,0.8746293123804209
8,RandomForestClassifier,8,16,0.0961417544206142
9,RandomForestClassifier,9,30,0.00011094036326812594
