,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test
0,0,RandomForestClassifier,0.6909680841155948,0.7568981200727714,0.8228281560299479,0.5687022900763359,0.49777777777777776,0.2709727897136675
1,1,RandomForestClassifier,0.6823495746031922,0.7499620982413584,0.8175746218795246,0.6030534351145038,0.5272727272727272,0.327237308066804
2,2,RandomForestClassifier,0.6945832879197924,0.759968162522741,0.8253530371256896,0.5992366412213741,0.5291479820627802,0.33248760923669346
3,3,RandomForestClassifier,0.6782776728276992,0.7448453608247423,0.8114130488217853,0.5572519083969466,0.5,0.27772876550095343
4,4,RandomForestClassifier,0.6789955454422466,0.7473089751364462,0.8156224048306459,0.5801526717557252,0.5,0.2743137434288394
5,5,RandomForestClassifier,0.7110169875134339,0.7765691328077623,0.8421212781020907,0.5610687022900763,0.49781659388646293,0.2721500059443247
6,6,RandomForestClassifier,0.6682754831972796,0.7367722862340812,0.8052690892708828,0.5916030534351145,0.5201793721973095,0.3147747679150152
7,7,RandomForestClassifier,0.6972365452255468,0.7636825348696179,0.830128524513689,0.5610687022900763,0.4888888888888889,0.2532063055032118
8,8,RandomForestClassifier,0.6936128359283544,0.7579972710733778,0.8223817062184011,0.5687022900763359,0.49327354260089695,0.2616362439499804
9,9,RandomForestClassifier,0.6863835670349824,0.7518192844147967,0.8172550017946111,0.5610687022900763,0.4933920704845815,0.2626121461158756
