,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.7285976338439838,0.7904076063415055,0.8527413845671017,0.7688113413304252,0.5391010781143601,0.35408687138184025,0.6451612903225806,0.3216318785578748
1,1,RandomForestClassifier,0.7264772195488858,0.7881096768604348,0.8506370406247582,0.6997818974918211,0.5373775100905327,0.34724501991121604,0.6774193548387096,0.38330170777988615
2,2,RandomForestClassifier,0.7294974919455917,0.7908819197782203,0.8522663476108492,0.7838604143947654,0.5378834006941005,0.3515960363253168,0.634920634920635,0.291943259110678
3,3,RandomForestClassifier,0.7293284680461172,0.7900838170319673,0.8509210792929611,0.7692475463467828,0.5408179131754218,0.3605541353864645,0.6885245901639343,0.4134988461218532
4,4,RandomForestClassifier,0.7282795304260139,0.7893864246729618,0.8504933189199098,0.7574700109051253,0.5403786903786902,0.3517597889510283,0.7,0.444237648822702
5,5,RandomForestClassifier,0.725309599568627,0.7869585463051199,0.8516020918347336,0.7777535441657578,0.5497841566412993,0.37161053764222146,0.6779661016949152,0.41341246172495094
6,6,RandomForestClassifier,0.7387694985467295,0.7981059949753093,0.8592521614020864,0.7429661941112321,0.5469162209788259,0.36738959861073006,0.6666666666666667,0.38227316990966415
7,7,RandomForestClassifier,0.7213830703288062,0.7850461318548037,0.8487091933808011,0.6608505997818973,0.5447067189318379,0.36564057921879567,0.6857142857142857,0.3395219320088034
8,8,RandomForestClassifier,0.7323354606304404,0.7941902018539372,0.8563221494455339,0.7295528898582333,0.5370007408690554,0.35130479943012616,0.6451612903225806,0.3216318785578748
9,9,RandomForestClassifier,0.7425533706196711,0.8016763406393481,0.860799310659024,0.7744820065430751,0.5490479679312458,0.3964054460306866,0.4390243902439024,0.3611861126478141
