,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.6830928590956061,0.7503411158277744,0.8175893725599427,0.5648854961832062,0.5043478260869566,0.28593245504936415,0.6101694915254238,0.28900593389105367
1,1,RandomForestClassifier,0.6471913569529584,0.7174423893268648,0.7876934217007712,0.5687022900763359,0.4840182648401827,0.24331185969561792,0.6666666666666667,0.38227316990966415
2,2,RandomForestClassifier,0.67970507279502,0.7498862947240751,0.8200675166531302,0.5687022900763359,0.4886877828054299,0.2524187166542005,0.6440677966101694,0.3512091978080023
3,3,RandomForestClassifier,0.6845571018317888,0.7520466949666464,0.8195362881015041,0.5534351145038168,0.4890829694323144,0.254261571032781,0.6101694915254238,0.28900593389105367
4,4,RandomForestClassifier,0.6982735662955983,0.7638341419041843,0.8293947175127703,0.5763358778625954,0.5066666666666666,0.2887392739241232,0.6557377049180327,0.3517116622185878
5,5,RandomForestClassifier,0.6640650869328378,0.7322240751970892,0.8003830634613406,0.5916030534351145,0.5114155251141553,0.29617065508554485,0.6779661016949152,0.41341246172495094
6,6,RandomForestClassifier,0.6795266409629096,0.7484081261370527,0.8172896113111957,0.5801526717557252,0.5045045045045046,0.28354482863529756,0.5901639344262295,0.22813729441205696
7,7,RandomForestClassifier,0.6888088053851676,0.7583004851425107,0.8277921648998537,0.5687022900763359,0.49777777777777776,0.2709727897136675,0.5925925925925926,0.3240700409568569
8,8,RandomForestClassifier,0.6838948503528257,0.7521604002425711,0.8204259501323166,0.5877862595419847,0.509090909090909,0.2919549316414943,0.6451612903225806,0.3216318785578748
9,9,RandomForestClassifier,0.6895856969255751,0.7555715585203153,0.8215574201150555,0.6030534351145038,0.5272727272727272,0.327237308066804,0.631578947368421,0.3520968183794998
