,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.7286935474968879,0.7810610076380019,0.8334284677791161,0.6994957983193276,0.5532668788285107,0.3285371626213158,0.631578947368421,0.3520968183794998
1,1,RandomForestClassifier,0.7162461161820037,0.7688456256174252,0.8225553133284544,0.6107563025210083,0.538352572832345,0.30212356096093684,0.7142857142857142,0.40239636386228544
2,2,RandomForestClassifier,0.7364214759344896,0.7878484687853888,0.8398075738165586,0.5029411764705881,0.5303081762109398,0.3090683144738364,0.6857142857142857,0.3395219320088034
3,3,RandomForestClassifier,0.7219682629663404,0.7741849986747945,0.8270931640381004,0.6366386554621848,0.5302093060008981,0.30405674945342553,0.6052631578947368,0.1026735172722829
4,4,RandomForestClassifier,0.7270806443762214,0.7787238271932148,0.8303670100102081,0.62890756302521,0.531685558638282,0.3011545396869081,0.6478873239436619,0.24838186002020513
5,5,RandomForestClassifier,0.7262472276157692,0.7790033250608388,0.8317594225059085,0.5136974789915966,0.5305330577330567,0.3083654984577541,0.7027027027027026,0.35752164711988077
6,6,RandomForestClassifier,0.7283488305032044,0.7805206852516685,0.8326925400001325,0.5111764705882352,0.5321741068246324,0.313945150122839,0.6176470588235294,0.20862017744453543
7,7,RandomForestClassifier,0.7306558369049905,0.7831632653061223,0.8356706937072542,0.6639495798319327,0.5487890918254501,0.3225941909398957,0.5084745762711865,0.10239614214020776
8,8,RandomForestClassifier,0.7331704098701095,0.784862540057345,0.8365546702445805,0.7428571428571428,0.5503032717904444,0.3375576246169313,0.1176470588235294,0.08356510178876833
9,9,RandomForestClassifier,0.7348715739102241,0.7867738476736619,0.8386761214370999,0.6956302521008402,0.5691988521594286,0.35734593603448694,0.5283018867924528,0.22833315278244487
