,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.6688569675498515,0.7286431101366166,0.7884292527233818,0.5264705882352941,0.5076452599388379,0.23533015784589323,0.6461538461538462,0.29506641366223907
1,1,RandomForestClassifier,0.6545797621932281,0.7142857142857143,0.7739916663782005,0.5147058823529411,0.49848024316109424,0.2145146992680676,0.5423728813559322,0.1645994060571564
2,2,RandomForestClassifier,0.6696209069982988,0.7277997976049924,0.7859786882116859,0.5323529411764706,0.5225225225225225,0.27076467157265965,0.6031746031746031,0.2303318570256323
3,3,RandomForestClassifier,0.6589909998493686,0.7177432956653736,0.7764955914813787,0.5411764705882353,0.524390243902439,0.27352298118148966,0.6769230769230768,0.3567362428842505
4,4,RandomForestClassifier,0.6541804088327577,0.7131894079946028,0.7721984071564479,0.5117647058823529,0.5000000000000001,0.218026791791776,0.5806451612903226,0.198292220113852
5,5,RandomForestClassifier,0.6855912899389193,0.7452142013830325,0.8048371128271458,0.5441176470588235,0.5171339563862929,0.2559178338102451,0.6031746031746031,0.2303318570256323
6,6,RandomForestClassifier,0.6654350748323011,0.7251433631303761,0.784851651428451,0.538235294117647,0.5198776758409787,0.2630256419814431,0.5573770491803278,0.16635011050879153
7,7,RandomForestClassifier,0.6605358695159403,0.7171740597065271,0.773812249897114,0.55,0.5263157894736842,0.2765219885907424,0.6031746031746031,0.2303318570256323
8,8,RandomForestClassifier,0.6816778811378252,0.7392477652217911,0.796817649305757,0.5352941176470588,0.5123456790123456,0.2456430023162505,0.6461538461538462,0.29506641366223907
9,9,RandomForestClassifier,0.6724601589834227,0.7310043852251644,0.7895486114669061,0.5323529411764706,0.5137614678899083,0.24917789991366818,0.5573770491803278,0.16635011050879153
