,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1,MCC
0,0,XGBClassifier,0.7708478659333896,0.8236516987407936,0.876688682871863,0.7854545454545454,0.6064516129032258,0.49450299356733207
1,1,XGBClassifier,0.7618814694551668,0.8178028775043702,0.8737242855535736,0.8218181818181818,0.5882352941176471,0.5073546802021078
2,2,XGBClassifier,,0.7634629768137622,,0.7636363636363637,0.5185185185185186,0.3945092169300408
3,3,XGBClassifier,,0.8253205128205129,,0.8109090909090909,0.6153846153846154,0.5085570734139504
4,4,XGBClassifier,0.8415174771248439,0.8839039748130657,0.9269480452046139,0.8327272727272728,0.6666666666666666,0.5637430756426035
5,5,XGBClassifier,0.7255385254566192,0.78665400786654,0.8477694902764609,0.7818181818181819,0.5652173913043479,0.421500159707878
6,6,XGBClassifier,0.7738340883069741,0.8262424698795181,0.8786508514520621,0.8109090909090909,0.6285714285714286,0.5236646060097191
7,7,XGBClassifier,0.7378663397917894,0.7985897435897434,0.8593131473876975,0.8109090909090909,0.5806451612903226,0.5066710044155939
8,8,XGBClassifier,0.7928473987889301,0.8463327859879584,0.8998181731869866,0.8254545454545454,0.6307692307692307,0.5234064199868945
9,9,XGBClassifier,,0.8489326765188834,,0.8363636363636363,0.6141732283464567,0.5419498513918232
