,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1,MCC
0,0,XGBClassifier,0.7553291934488583,0.8096935138987884,0.8640578343487185,0.7672727272727272,0.5733333333333334,0.4457737100157309
1,1,XGBClassifier,0.7523984202737304,0.8098695710636009,0.8673407218534714,0.7818181818181819,0.5238095238095238,0.3980013160919497
2,2,XGBClassifier,0.671514005454145,0.7344801795063575,0.79744635355857,0.72,0.45390070921985815,0.284144283403927
3,3,XGBClassifier,0.7653903281325922,0.8200641025641026,0.8747378769956129,0.7963636363636364,0.5757575757575758,0.4676643262827117
4,4,XGBClassifier,0.7962295762679044,0.8454020726747999,0.8945745690816955,0.7963636363636364,0.5820895522388059,0.4603323924816834
5,5,XGBClassifier,0.7058192680835917,0.7667842126678421,0.8277491572520925,0.7381818181818182,0.46268656716417905,0.2934937453092687
6,6,XGBClassifier,0.7479272200336031,0.8039658634538152,0.8600045068740272,0.76,0.5074626865671641,0.37924220169771117
7,7,XGBClassifier,0.6928279492113425,0.7583333333333333,0.8238387174553241,0.7709090909090909,0.5116279069767442,0.39220588946087814
8,8,XGBClassifier,0.7616544833042391,0.821360153256705,0.8810658232091708,0.8036363636363636,0.6086956521739131,0.47876432571595806
9,9,XGBClassifier,0.7661985817255236,0.8234811165845648,0.880763651443606,0.8036363636363636,0.5714285714285715,0.4552098888598973
