,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7995420155206535,0.8493193971803599,0.9003770534213645,0.8169350649350652,0.6502978180167609,0.5598851623217519,0.6331061450150519,0.7561669829222013,0.8792278208293506,0.662857142857143,0.4731640949062552,0.39797015502773514
1,1,LGBM,0.8029243573508894,0.8517678091045666,0.9008846770187291,0.8111168831168833,0.6473624759217376,0.5402369230475206,0.6956740190589208,0.8070750880997563,0.920062059818693,0.6808791208791212,0.5035572481970668,0.447020461022413
2,2,LGBM,0.7340643796470826,0.7909031402034498,0.8477419007598175,0.7810909090909093,0.56778394228845,0.44739582679269185,0.6076272340386424,0.7329899701816213,0.8583527063246003,0.6347252747252748,0.4775177178885493,0.34144559072787684
3,3,LGBM,0.7588971181698839,0.8153209657309104,0.871744813291937,0.8097662337662339,0.5704418214651032,0.47999182805210083,0.6193598114765988,0.7434535104364329,0.8675472093962671,0.611868131868132,0.49821428571428683,0.3304317119673169
4,4,LGBM,0.7554170227426266,0.8128558412822374,0.8704436332313773,0.8095584415584419,0.612072829131653,0.498666056105396,0.6270574577585144,0.7533477907291951,0.8809452633410662,0.6276923076923079,0.40635246653218426,0.3459725632643114
5,5,LGBM,0.752479842736548,0.8070609455411959,0.861642048345844,0.7852467532467535,0.6336412136419391,0.5116545228337196,0.6625087190127659,0.777731092436975,0.8967304003199422,0.6241758241758244,0.3497324392061235,0.35118459453312245
6,6,LGBM,0.8386429039330936,0.88711326338445,0.935583622835807,0.8700259740259739,0.6649051645580353,0.5904528582697322,0.6339386559543496,0.757413933315262,0.881722850541311,0.6382417582417584,0.43127138167954504,0.34607627696278315
7,7,LGBM,0.7844713015152937,0.8395942857142861,0.8961224245157366,0.8323116883116886,0.6482120864210419,0.5512757744702277,0.6460901007122037,0.7661154784494446,0.8861408561866856,0.6545054945054947,0.44683208960487536,0.4023808330544306
8,8,LGBM,0.7974324272229085,0.8491613725379962,0.90151030618382,0.8274285714285717,0.6572340671771917,0.5495847401785448,0.6708827425813169,0.7832339387367853,0.8955851348922536,0.674725274725275,0.5068617577490442,0.4246225054143222
9,9,LGBM,0.7863722323176527,0.8401349919116419,0.8938977515056311,0.8234805194805197,0.6582280165383376,0.5460586583368807,0.6406051212427236,0.7573326104635404,0.874060099684357,0.6685714285714288,0.5170910152969954,0.39535010407694693
