,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7826704398716324,0.8209327442317136,0.859195048591795,0.7765366264383948,0.8260187539906456,0.5182520841343314,0.7243690116681025,0.8269449715370023,0.9295209314059019,0.7912087912087915,0.763761819404257,0.5859598030230211
1,1,LGBM,0.7320526634352857,0.7738899393623266,0.8157272152893674,0.741117036205445,0.8921098366353845,0.43938332032859007,0.6338912703753409,0.7530496069395503,0.8722079435037596,0.7208791208791212,0.7565476190476192,0.4405120292281675
2,2,LGBM,0.7207432479090474,0.763474417608212,0.8062055873073766,0.7383104125736741,0.8268335071254782,0.4390185660994455,0.6137880823800832,0.7345622119815669,0.8570390004229763,0.6945054945054948,0.7011904761904764,0.387339471293358
3,3,LGBM,0.7324213272628225,0.7741188164586223,0.8158163056544221,0.7245579567779963,0.8202584701362211,0.4087447081713639,0.6211286473170303,0.74388723231228,0.8671360508753472,0.7164835164835167,0.708299180327869,0.4333968034999477
4,4,LGBM,0.7513508773155548,0.7908339073334254,0.8303169373512961,0.7402750491159138,0.7996567683350113,0.44665586251116274,0.6296707466701683,0.7297641637300084,0.8958646287703308,0.7208791208791211,0.6974439584472392,0.4407772377320286
5,5,LGBM,0.7757117850824358,0.8129535437339431,0.8501953023854505,0.7510524838619144,0.8070181118592881,0.4603212365971084,0.6911756026534056,0.8004066142586069,0.9096376258638081,0.7573626373626376,0.7190865909079793,0.5181188519337816
6,6,LGBM,0.764805750350129,0.8034229783867572,0.8420402064233856,0.7498737019365705,0.7999745915779339,0.46996560596049763,0.6358604893404137,0.7569259962049338,0.8779915030694541,0.7358241758241761,0.7416583861118953,0.4786741262089559
7,7,LGBM,0.7906145310121281,0.8270252267573699,0.8635920780047995,0.7723266909907385,0.8381871445803898,0.5184444468775369,0.6058147094927963,0.7320412035782056,0.858267697663615,0.7169230769230772,0.7087328328983535,0.4340944630452461
8,8,LGBM,0.7632099977683959,0.8012645325688804,0.8393190673693649,0.7412854336233513,0.7982974729094799,0.45727541744016587,0.6215761948790575,0.7452968284087831,0.8690174619385087,0.703736263736264,0.6914866182204894,0.4063823565429046
9,9,LGBM,0.7846881233185448,0.8213438936911609,0.8590167596089071,0.7734493404434468,0.8225604718772737,0.5146149227938104,0.6150798981148029,0.739685551640011,0.8642912051652191,0.7235164835164838,0.716725052446232,0.445395549308906
