,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7834235102866132,0.8214203894616265,0.8594172686366399,0.7583497053045186,0.8093023255813954,0.48099790823510963,0.5855085503575052,0.7125237191650854,0.8395388879726656,0.6307692307692307,0.6000000000000001,0.2583442120835885
1,1,LGBM,0.7274245051469311,0.7697724457195019,0.8121203862920726,0.7151277013752456,0.7751937984496126,0.3886273078006577,0.6080938325645528,0.7314990512333964,0.85490426990224,0.6307692307692307,0.5714285714285714,0.2581223251190367
2,2,LGBM,0.7290490596728798,0.7703592619156288,0.8116694641583777,0.7210216110019646,0.7746031746031746,0.40871920693621,0.5705448626058507,0.6973434535104365,0.8241420444150223,0.6153846153846154,0.5454545454545454,0.2268266742857601
3,3,LGBM,0.724752037844216,0.7668284789644014,0.8089049200845868,0.7190569744597249,0.7748031496062991,0.40316500780029985,0.5668987629341264,0.6973434535104365,0.8277881440867465,0.6615384615384615,0.6333333333333333,0.32030869099662634
4,4,LGBM,0.7471931594067647,0.7866120218579233,0.826030884309082,0.7190569744597249,0.7796610169491525,0.4014483098148896,0.6297926156549453,0.7504743833017077,0.8711561509484701,0.6461538461538462,0.5818181818181819,0.29065236185534626
5,5,LGBM,0.7711644401282224,0.8092723972941758,0.8473803544601292,0.7465618860510805,0.798751950078003,0.4566335854663315,0.623503232865322,0.7466793168880456,0.8698554009107691,0.676923076923077,0.6181818181818182,0.35447804942493244
6,6,LGBM,0.7541313248259762,0.793666892044174,0.8332024592623717,0.7288801571709234,0.7766990291262137,0.4319136073979663,0.5672099430189914,0.6963946869070209,0.8255794307950504,0.6153846153846154,0.5454545454545454,0.2268266742857601
7,7,LGBM,0.7707172294751419,0.8090939153439153,0.8474706012126887,0.75049115913556,0.7993680884676145,0.46980540379216806,0.5613587247848574,0.6925996204933585,0.8238405162018597,0.6461538461538462,0.6461538461538462,0.29506641366223907
8,8,LGBM,0.762079311359533,0.8002548176461218,0.8384303239327107,0.7406679764243614,0.7857142857142858,0.4593210892231272,0.6049108925022135,0.7286527514231499,0.8523946103440863,0.6615384615384615,0.6206896551724138,0.32022132314301915
9,9,LGBM,0.770645416244963,0.8090714216116144,0.8474974269782658,0.7583497053045186,0.8050713153724247,0.48775507464784357,0.5680251036420688,0.6963946869070209,0.824764270171973,0.5692307692307692,0.5172413793103449,0.13270433211332325
