,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7258838289152205,0.7864115579851622,0.8469392870551038,0.6981818181818182,0.5870646766169154,0.39122289618485945,0.5992069430822371,0.7248576850094878,0.8505084269367384,0.6923076923076923,0.7222222222222222,0.41143020141010167
1,1,LGBM,0.6987936586186442,0.7599192207175101,0.8210447828163759,0.7090909090909091,0.6116504854368933,0.38893834124619076,0.5465968417882365,0.6840607210626185,0.8215246003370005,0.6615384615384615,0.5416666666666666,0.34289546012345845
2,2,LGBM,0.6327661753226528,0.7059591126576772,0.7791520499927016,0.5854545454545454,0.47706422018348627,0.2657693842665752,0.5700261828506833,0.6982922201138521,0.8265582573770208,0.6153846153846154,0.6835443037974683,0.28790279199045093
3,3,LGBM,0.7435952109061972,0.8012600229095074,0.8589248349128176,0.6872727272727273,0.5981308411214953,0.39629312283775564,0.5882023352799043,0.7163187855787475,0.8444352358775907,0.6615384615384615,0.5769230769230769,0.3283134835235491
4,4,LGBM,0.6981010986794709,0.7597857709600635,0.8214704432406561,0.6836363636363636,0.5538461538461539,0.34650373260500966,0.43576960525603237,0.5768500948766603,0.7179305844972882,0.5538461538461539,0.5084745762711865,0.10239614214020776
5,5,LGBM,0.6826435218921543,0.7483333333333334,0.8140231447745125,0.6909090909090909,0.5549738219895288,0.3379465489161464,0.4707923294948856,0.613851992409867,0.7569116553248484,0.5846153846153846,0.5970149253731343,0.17540714030767632
6,6,LGBM,0.714358855526626,0.7741696920801399,0.8339805286336537,0.68,0.5463917525773196,0.34239180992883733,0.5926045811083079,0.7210626185958254,0.8495206560833429,0.7076923076923077,0.6415094339622641,0.4236180860832201
7,7,LGBM,0.7286176880710801,0.7888261395724083,0.8490345910737366,0.68,0.5463917525773196,0.34239180992883733,0.5427014852642271,0.6774193548387096,0.8121372244131921,0.676923076923077,0.6037735849056604,0.358523108316295
8,8,LGBM,0.7079063767724616,0.7684084084084085,0.8289104400443554,0.6872727272727273,0.609090909090909,0.379602874559986,0.5181862472367176,0.6527514231499051,0.7873165990630926,0.6,0.48000000000000004,0.1990019561648592
9,9,LGBM,0.7442422098897575,0.7987572289897872,0.8532722480898168,0.6981818181818182,0.5870646766169155,0.3663174269529681,0.5264181452795458,0.6612903225806451,0.7961624998817445,0.6153846153846154,0.5614035087719298,0.22634795467253557
