,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6862402583720065,0.7511189475111895,0.8159976366503724,0.7345454545454545,0.5730994152046783,0.3952291829156379,0.49135435963729834,0.6318785578747629,0.7724027561122274,0.6153846153846154,0.5454545454545454,0.2268266742857601
1,1,LGBM,0.7217764628760176,0.7807279980054849,0.8396795331349521,0.7272727272727273,0.5810055865921788,0.3815598737630642,0.5425524295170074,0.676470588235294,0.8103887469535807,0.6,0.5,0.1965827648258288
2,2,LGBM,0.7274794307968961,0.7905872779058729,0.8536951250148497,0.6763636363636364,0.5527638190954773,0.3562209074844547,0.49129524111512113,0.6309297912713473,0.7705643414275735,0.6,0.5357142857142857,0.1948093019766315
3,3,LGBM,0.7749957025855942,0.8256010631871451,0.876206423788696,0.7454545454545455,0.6534653465346535,0.46490191589695334,0.5226491837098974,0.6603415559772295,0.7980339282445617,0.6615384615384615,0.5925925925925926,0.3240700409568569
4,4,LGBM,0.7017465357728957,0.7648563557654466,0.8279661757579976,0.6690909090909091,0.5517241379310345,0.3367953451022722,0.5038936812253052,0.6451612903225806,0.786428899419856,0.6615384615384615,0.6206896551724138,0.32022132314301915
5,5,LGBM,0.6845593202336444,0.7466373196380532,0.8087153190424621,0.6836363636363636,0.5245901639344263,0.28917578833644353,0.5607385551676912,0.6944971537001897,0.8282557522326882,0.6153846153846154,0.5283018867924528,0.22833315278244487
6,6,LGBM,0.7346618818648412,0.796465064899199,0.8582682479335568,0.7454545454545455,0.611111111111111,0.45624461571708597,0.5989562049800918,0.7277039848197343,0.8564517646593768,0.6923076923076923,0.6666666666666667,0.38227316990966415
7,7,LGBM,0.6912620942609691,0.7505882352941177,0.8099143763272663,0.6727272727272727,0.5833333333333334,0.35463981505883585,0.6146117334704096,0.7419354838709679,0.8692592342715261,0.676923076923077,0.5714285714285714,0.37276675794248626
8,8,LGBM,0.7003755792262147,0.7586708566108009,0.8169661339953871,0.6763636363636364,0.5781990521327015,0.32252425351080843,0.5786647510660536,0.7096774193548389,0.8406900876436241,0.7076923076923077,0.6122448979591837,0.4416015285852749
9,9,LGBM,0.7293060023981531,0.7882174028034912,0.8471288032088292,0.7454545454545455,0.6276595744680851,0.4641808115381371,0.5632486477743872,0.6954459203036053,0.8276431928328234,0.6461538461538462,0.5490196078431372,0.2977532000896204
