,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7472065891200543,0.7876648770464638,0.8281231649728733,0.6895874263261297,0.7228070175438597,0.39876531747516053,0.5044749395080482,0.6413662239089183,0.7782575083097883,0.5538461538461539,0.45283018867924524,0.09814319724859472
1,1,LGBM,0.726108406760008,0.7677470670113342,0.8093857272626604,0.6758349705304518,0.708994708994709,0.37357671718053764,0.5584474519737068,0.6888045540796964,0.819161656185686,0.6153846153846154,0.4897959183673469,0.23509721665690894
2,2,LGBM,0.733062888334469,0.7748705501618122,0.8166782119891554,0.7131630648330058,0.743859649122807,0.4309923761961586,0.5779121926191151,0.7077798861480075,0.8376475796768998,0.6307692307692307,0.5200000000000001,0.26672513496441863
3,3,LGBM,0.7102117070071056,0.7525577316574104,0.7949037563077151,0.6719056974459725,0.7105719237435008,0.3426721873423901,0.5733132209929774,0.7020872865275142,0.8308613520620509,0.6153846153846154,0.4897959183673469,0.23509721665690894
4,4,LGBM,0.7454114039650481,0.7861349733177143,0.8268585426703805,0.6738703339882122,0.683206106870229,0.4013375508283555,0.48135177491789294,0.6195445920303605,0.7577374091428281,0.5692307692307692,0.44000000000000006,0.13127877736529978
5,5,LGBM,0.7161460835757897,0.7590939629522987,0.8020418423288077,0.6856581532416502,0.7173144876325087,0.37112477768400454,0.5330498311773404,0.666034155597723,0.7990184800181057,0.5846153846153846,0.47058823529411764,0.16427762763565265
6,6,LGBM,0.7427827270830183,0.7835806325654042,0.8243785380477902,0.6895874263261297,0.7116788321167884,0.40717606547973056,0.57366245428888,0.70303605313093,0.83240965197298,0.6615384615384615,0.5769230769230769,0.3283134835235491
7,7,LGBM,0.709828651553279,0.7532923195232145,0.79675598749315,0.6797642436149313,0.7020109689213894,0.374568442961526,0.5297575097183225,0.6631878557874763,0.7966182018566301,0.6,0.5185185185185185,0.19523485647859573
8,8,LGBM,0.7505200159761409,0.7898185649840298,0.8291171139919187,0.7190569744597249,0.7547169811320754,0.442169143194433,0.5330166624729482,0.666034155597723,0.7990516487224979,0.6,0.4347826086956521,0.20807542543317484
9,9,LGBM,0.7104336004448198,0.754004004004004,0.7975744075631882,0.6483300589390962,0.6727605118829981,0.34617932350947145,0.5544002350305072,0.6878557874762808,0.8213113399220545,0.6,0.4583333333333333,0.2027180707648119
