,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7861115425540587,0.8384655696467879,0.8908195967395169,0.797038961038961,0.6331629141938335,0.5066817238919146,0.5857239614573351,0.7160748170235838,0.8479372466835092,0.611868131868132,0.33778968998481207,0.32062003831541197
1,1,LGBM,0.7675103668103846,0.8230104529616726,0.878510539112961,0.8114285714285718,0.591880349672302,0.4739907943526917,0.6913002712056522,0.8011114123068586,0.9109225534080648,0.6496703296703298,0.447741331350354,0.37255913503596844
2,2,LGBM,0.795198356110813,0.8451729323308272,0.8951475085508414,0.8154805194805198,0.6494246460481299,0.544580698117471,0.6534230810127188,0.7683925182976419,0.8833619555825649,0.6276923076923079,0.4565176758725147,0.35719959284169633
3,3,LGBM,0.8090703252414633,0.8567673448755215,0.9044643645095798,0.8158961038961041,0.6327659017452207,0.532926671308489,0.6252248871357635,0.7453239360260235,0.8654229849162838,0.6404395604395606,0.401880011880012,0.3726683044500917
4,4,LGBM,0.7758764014288997,0.8284564352056614,0.8810364689824232,0.8030129870129873,0.5986743302122928,0.5093766070627441,0.6278830092140626,0.7484413120086748,0.868999614803287,0.6426373626373629,0.442857142857143,0.36693418950617057
5,5,LGBM,0.7699298836262716,0.8250206496475156,0.8801114156687599,0.8163116883116885,0.6414582600498095,0.519690400060341,0.6467296023537377,0.7662239089184064,0.885718215483075,0.644835164835165,0.39845768266820913,0.3998226666328579
6,6,LGBM,0.7816179431137957,0.834172684458399,0.8882876416230319,0.8364675324675327,0.6015827518802348,0.5112336954716752,0.6537908618437216,0.7728923827595555,0.8919939036753896,0.6597802197802201,0.4716859997631411,0.38783358788146055
7,7,LGBM,0.7625096022015816,0.8160789796164936,0.8696483570314053,0.7732987012987015,0.5704351063078203,0.44800766174285916,0.6664347596098845,0.7787205204662511,0.8910062813226176,0.6215384615384618,0.3753996217154113,0.33698303548711694
8,8,LGBM,0.7940870031101572,0.8459436941737228,0.8978003852372887,0.8229610389610392,0.6457427307374888,0.5278343660468721,0.6385726213113712,0.7577392247221472,0.8769058281329231,0.6760439560439563,0.5701691870087537,0.38454552994291835
9,9,LGBM,0.7476741110456411,0.8031313429530946,0.8590821593069229,0.7824415584415588,0.5442622415938307,0.4189045520450289,0.7238302733640825,0.8226619680130118,0.9229234557055123,0.6127472527472531,0.33051211336925634,0.32352913871124156
