,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.8251496017585334,0.8726867761232024,0.9202239504878716,0.8339740259740263,0.6724322918300353,0.577574943650765,0.6206643335877954,0.7432908647329902,0.8660992467916468,0.6039560439560442,0.3682260596546312,0.2765241107241396
1,1,LGBM,0.7784452544605112,0.8320024000436373,0.8855900797681638,0.8265974025974028,0.6564651978660945,0.558494369825921,0.6213039837487875,0.7473841149362973,0.8734642461238069,0.6254945054945057,0.4240486249671599,0.35389743650869765
2,2,LGBM,0.7987560035802244,0.8478719250292857,0.8974219577956294,0.8152727272727276,0.6171898399647631,0.509579702883722,0.6181771261199651,0.741203578205476,0.8642300302909868,0.6404395604395606,0.4457050500904323,0.3483872561921466
3,3,LGBM,0.7572037074459544,0.8107828471702819,0.8643619868946095,0.7854545454545457,0.5667140463561531,0.45563621653937597,0.7286701653131569,0.8380319869883439,0.9473938086635311,0.6127472527472531,0.36513377926421414,0.3193991024924132
4,4,LGBM,0.7014120416382322,0.7622930402930406,0.8231740389478488,0.771844155844156,0.5477217125821991,0.4083973487903194,0.6609639866193927,0.7762266196801304,0.8914892527408682,0.6413186813186815,0.4780952380952383,0.34355784561867375
5,5,LGBM,0.7878690376035861,0.8368617326448654,0.8858544276861449,0.8050909090909093,0.6149063765527598,0.5073973882182025,0.6937612889020488,0.8023854703171593,0.9130809897867629,0.6259340659340662,0.440177626731851,0.3455980335955692
6,6,LGBM,0.8068061882929325,0.8524827656815238,0.898159343070115,0.7842077922077924,0.6109349389393051,0.4857351743177666,0.6581089872769498,0.7732176741664409,0.8894426362683426,0.6505494505494508,0.4460861411816695,0.36114801613568726
7,7,LGBM,0.7759982054824608,0.8284334365325081,0.8808686675825552,0.797714285714286,0.599386071105143,0.49492346070142895,0.596244881725355,0.7225806451612906,0.8489164085972262,0.6373626373626375,0.41562329839608414,0.36463292385635226
8,8,LGBM,0.7690022569931181,0.8211416109143383,0.8732809648355585,0.7682077922077923,0.6061512027664739,0.4769942542742108,0.7254668621687519,0.8281648143128222,0.9308627664568924,0.6140659340659342,0.4155844155844157,0.33495311525994226
9,9,LGBM,0.7897233107792089,0.8408389243440793,0.8927915492171117,0.7998961038961041,0.5457341752425517,0.4802442765165572,0.6505671976934098,0.7702764976958527,0.8899857976982958,0.6312087912087914,0.42864478268842854,0.3494542723065407
