,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7292489964623877,0.7699702009035857,0.8106914053447837,0.6620825147347741,0.6600790513833992,0.37730564926054455,0.5387196608920866,0.6717267552182163,0.8047338495443461,0.5538461538461539,0.3255813953488372,0.1013746176266338
1,1,LGBM,0.7303308623574434,0.7722937038943213,0.8142565454311992,0.6719056974459725,0.7155025553662692,0.36571200147734084,0.5269770708777107,0.6622390891840607,0.7975011074904107,0.5692307692307692,0.36363636363636365,0.13860924831758192
2,2,LGBM,0.7579787924238159,0.7968135137729148,0.8356482351220136,0.6738703339882122,0.6844106463878327,0.37946278135419154,0.5637684062703576,0.6944971537001897,0.8252259011300218,0.5692307692307692,0.44000000000000006,0.13127877736529978
3,3,LGBM,0.7411205720829573,0.7817475728155342,0.822374573548111,0.693516699410609,0.7121771217712176,0.4162335581921543,0.5878579444242567,0.7153700189753319,0.8428820935264072,0.6153846153846154,0.4444444444444444,0.2489913958244677
4,4,LGBM,0.7576337166137252,0.7963537370070946,0.8350737574004639,0.6817288801571709,0.7000000000000001,0.4138113483054031,0.5405427070157739,0.6726755218216317,0.8048083366274895,0.6153846153846154,0.4680851063829787,0.24091607445674953
5,5,LGBM,0.7509178093193241,0.7912890395774923,0.8316602698356605,0.6895874263261297,0.7116788321167883,0.4089062101518747,0.5517713752903574,0.6840607210626185,0.8163500668348797,0.5846153846153846,0.4489795918367347,0.1662624460141203
6,6,LGBM,0.7220279271891207,0.7632793323514975,0.8045307375138743,0.6895874263261297,0.7116788321167883,0.4125151253930787,0.5620881767742099,0.6944971537001897,0.8269061306261696,0.5846153846153846,0.4,0.17406342948840103
7,7,LGBM,0.7226283964808956,0.764289187874858,0.8059499792688204,0.6777996070726916,0.7018181818181818,0.3777134505235205,0.539619161214987,0.6717267552182163,0.8038343492214457,0.5538461538461539,0.43137254901960786,0.09753984140866875
8,8,LGBM,0.6963081055150573,0.7401839464882942,0.7840597874615312,0.6640471512770137,0.6962699822380106,0.360907287619159,0.5345553836639269,0.6679316888045542,0.8013079939451816,0.5538461538461539,0.3255813953488372,0.1013746176266338
9,9,LGBM,0.7590820896739258,0.799240514836845,0.8393989399997642,0.7151277013752456,0.7442680776014109,0.46654328190165434,0.526746411411737,0.6622390891840607,0.7977317669563845,0.5692307692307692,0.44000000000000006,0.13127877736529978
