,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7550531598747336,0.8132887685126494,0.8715243771505651,0.8045714285714288,0.5629272643363915,0.4590347974801423,0.654650736523001,0.7741664407698565,0.8936821450167121,0.6637362637362639,0.5087085396013962,0.409798059555725
1,1,LGBM,0.7410544885636414,0.800970243169732,0.8608859977758224,0.8032207792207794,0.5741129605371607,0.44229052523143936,0.619679179696922,0.7458931959880729,0.8721072122792238,0.6446153846153849,0.48091621821802755,0.3600689947511482
2,2,LGBM,0.7862097799065259,0.8395384615384618,0.8928671431703976,0.8212987012987015,0.6449062664414479,0.5412574980226931,0.7095013186186054,0.8153429113580919,0.9247951275951912,0.6615384615384616,0.47455782312925177,0.4066600624661393
3,3,LGBM,0.776643209060867,0.828123039450862,0.8804315647254666,0.7954285714285717,0.5599189190426745,0.45725518516384805,0.7423113039259175,0.8409053944158312,0.939565882252607,0.6694505494505496,0.4628571428571431,0.4427745162534309
4,4,LGBM,0.7839926811778792,0.8386620800069234,0.8933314788359676,0.8172467532467536,0.5944344429992747,0.4766244587580717,0.6227297439083167,0.7465166711846031,0.8703035984608894,0.622857142857143,0.4299003322259139,0.31317660699093147
5,5,LGBM,0.7525073169081861,0.8063281457834532,0.8601489746587206,0.7696623376623378,0.562960953371502,0.4751189922481668,0.6698380380032344,0.7807264841420443,0.891614930280854,0.6593406593406594,0.4673890569360954,0.3923498004825492
6,6,LGBM,0.7419567671641063,0.7993523268258481,0.8577971811229189,0.8018701298701301,0.5634549693047952,0.47455837687264485,0.684240158099017,0.795527243155327,0.9068366943201482,0.6171428571428574,0.3975706617518465,0.33238600405238966
7,7,LGBM,0.7171283644990811,0.77926411036407,0.841719084267613,0.7835844155844158,0.549876827480884,0.41333095161612793,0.5685720760866462,0.6963675792897805,0.8241630824929149,0.6496703296703298,0.47012050424253665,0.34775641697104565
8,8,LGBM,0.7874831586134814,0.8375572092373268,0.8876312598611718,0.7945974025974029,0.6246258285288593,0.49901798256847635,0.6432575516762995,0.7621577663323396,0.8810579809883796,0.6540659340659343,0.48334124347413393,0.37838733819512704
9,9,LGBM,0.7570379363585713,0.811721481179785,0.8664111480963166,0.7711168831168834,0.5472857052927252,0.457253321636487,0.630351373986582,0.751396042287883,0.872440710589184,0.6052747252747255,0.3304578047435191,0.32213675586768076
