,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.8060351007597504,0.8553345388788429,0.9046339769979355,0.8345974025974029,0.660027918554001,0.5710984209349117,0.6352783723966648,0.755164001084305,0.8750496297719451,0.6219780219780222,0.34958914958914966,0.3435801840341793
1,1,LGBM,0.7740512829144341,0.8276507461623395,0.881250209410245,0.7899220779220781,0.5985481390012075,0.4738470358532776,0.648103922685944,0.7652480346977503,0.8842021932030127,0.630769230769231,0.41969701120837166,0.35586247600668464
2,2,LGBM,0.7411455017251302,0.7963296062226543,0.8515137107201786,0.7557402597402598,0.5064905114490266,0.3902668592359493,0.6831419556544571,0.7947953374898347,0.9064487193252124,0.6246153846153848,0.3663906953123899,0.3414941331916558
3,3,LGBM,0.8210826594010601,0.8676263736263738,0.9141700878516876,0.8123636363636366,0.6265302285273442,0.5168795422060755,0.643811753527619,0.7646787747357009,0.8855457959437829,0.622857142857143,0.3783191009197202,0.33627153519737607
4,4,LGBM,0.7723643889962375,0.8262509064539525,0.8801374239116674,0.7981298701298704,0.5937982716540882,0.4644872707218846,0.7017499238090701,0.809257251287612,0.9193320277438144,0.6615384615384617,0.4829615567157096,0.42791905759092586
5,5,LGBM,0.7555965168906683,0.814386218818469,0.8736097046722693,0.8344935064935067,0.5976776619409849,0.501078177976362,0.6624414489543807,0.7772567091352673,0.895422567537135,0.6356043956043957,0.7011904761904764,0.3786252804512778
6,6,LGBM,0.8048308928605599,0.8538878842676314,0.902944875674703,0.8123636363636367,0.5962253535061662,0.5065943194513473,0.6035659776627114,0.7274193548387099,0.8512727320147083,0.6178021978021979,0.3943544132375969,0.29970861250116854
7,7,LGBM,0.7795020437365284,0.8357454421194398,0.8932116506367989,0.8235844155844159,0.5692159085067965,0.48477011895102146,0.7280513164740225,0.8288831661696939,0.9297150158653651,0.6540659340659343,0.46015037593984975,0.4026337601917681
8,8,LGBM,0.8207807351485805,0.8646435006435008,0.9085062661384211,0.8069610389610392,0.6517197019983416,0.5446069727117191,0.6508241382092315,0.7676335050149093,0.8844428718205873,0.6241758241758244,0.3497324392061235,0.35951494952563257
9,9,LGBM,0.7766540020102247,0.8314901575546909,0.8863263130991571,0.821818181818182,0.6291719810309748,0.5211208366865556,0.6379110932674836,0.7573055028463,0.8785594456841694,0.6281318681318684,0.38129017226761597,0.35180355222378296
