,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.8034492279496518,0.8512012399896667,0.8989532520296816,0.7818181818181819,0.5652173913043479,0.4316827850534754,0.5668659147274305,0.6963946869070209,0.8259234590866112,0.5846153846153846,0.27027027027027023,0.22755839596089147
1,1,LGBM,0.7547282837514746,0.8109573672400898,0.867186450728705,0.7745454545454545,0.5441176470588236,0.42573700049512037,0.658305390448144,0.776091081593928,0.8938767727397121,0.6307692307692307,0.39999999999999997,0.3306598534393704
2,2,LGBM,0.7252579270129457,0.782207097715119,0.8391562684172923,0.7418181818181818,0.48175182481751816,0.35283055073069153,0.5649171835602378,0.6944971537001897,0.8240771238401416,0.6,0.3157894736842105,0.2644616973096524
3,3,LGBM,0.8122422167702691,0.8591025641025641,0.9059629114348592,0.8072727272727273,0.6131386861313869,0.502052578512284,0.559839713874601,0.6992409867172676,0.8386422595599343,0.5384615384615384,0.16666666666666666,0.07113429940295787
4,4,LGBM,0.7436280038137614,0.8013796693999738,0.8591313349861863,0.7963636363636364,0.6,0.47131935645347933,0.536004155085214,0.6736242884250475,0.811244421764881,0.5076923076923077,0.15789473684210525,-0.033630967287932675
5,5,LGBM,0.7625084880950206,0.8227100042211903,0.8829115203473601,0.8145454545454546,0.5853658536585366,0.4740405057960008,0.616360485132134,0.7428842504743832,0.8694080158166324,0.5846153846153846,0.27027027027027023,0.22755839596089147
6,6,LGBM,0.7706813648383184,0.8249806251614571,0.8792798854845958,0.7890909090909091,0.5468749999999999,0.43941615202697315,0.547905090953256,0.6821631878557876,0.8164212847583191,0.5538461538461539,0.2926829268292683,0.1050723236793641
7,7,LGBM,0.7704678683918758,0.8288307302659349,0.887193592139994,0.8145454545454546,0.5321100917431193,0.45116170621041246,0.5758881639584945,0.7039848197343453,0.8320814755101962,0.6461538461538462,0.4390243902439024,0.3611861126478141
8,8,LGBM,0.8148397285690386,0.8587387387387387,0.9026377489084388,0.7745454545454545,0.6025641025641025,0.4609079304273872,0.5784623351063282,0.708728652751423,0.8389949703965179,0.6,0.3157894736842105,0.2644616973096524
9,9,LGBM,0.7570503646354931,0.8146654324252843,0.8722805002150755,0.8109090909090909,0.6231884057971016,0.5033079934995776,0.604367446684677,0.7305502846299811,0.8567331225752851,0.6153846153846154,0.358974358974359,0.2985847472549773
