,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7119209030662187,0.759073660714286,0.8062264183623533,0.6954810495626824,0.6957284202246954,0.3911851596173694,0.6343919514232831,0.7544592030360533,0.8745264546488236,0.7265934065934068,0.7042015450247897,0.45228080998879466
1,1,LGBM,0.758587367844375,0.8018892724029953,0.8451911769616158,0.7356413994169099,0.7274714031027498,0.47044817163563907,0.6907865296593014,0.8014909189482248,0.9121953082371482,0.7463736263736267,0.7011904761904764,0.5327991328067807
2,2,LGBM,0.711900214241542,0.7593231506439057,0.8067460870462693,0.7189504373177844,0.7372627372627375,0.4407322913743307,0.59227478933383,0.7192193006234755,0.8461638119131208,0.6953846153846156,0.7565476190476192,0.39197104617568324
3,3,LGBM,0.7494271597227505,0.7930919841579742,0.8367568085931981,0.7298104956268225,0.7213433925529328,0.4609476196448206,0.7892041073974462,0.8724044456492278,0.9556047839010093,0.7973626373626377,0.7628683778411549,0.6162426303475115
4,4,LGBM,0.7445121181774191,0.7886699121481733,0.8328277061189275,0.7265306122448981,0.7220842393083806,0.4541692577967191,0.6448098615299573,0.7637029005150449,0.8825959395001323,0.7375824175824179,0.7525340704843813,0.4902641461507281
5,5,LGBM,0.7438348318648307,0.7886420552436031,0.8334492786223746,0.7275145772594754,0.7276535855655857,0.45595758538732656,0.5779061224383264,0.7064787205204666,0.8362728319562365,0.6843956043956045,0.657112156529758,0.3677617390468047
6,6,LGBM,0.7347774869825019,0.7803169810198134,0.8258564750571249,0.7205539358600586,0.7809523809523812,0.4415833749827778,0.609395377924093,0.7324749254540527,0.8560027157056782,0.7028571428571431,0.7565476190476192,0.4300079888132804
7,7,LGBM,0.7501233464310175,0.7940829901805513,0.838042633930085,0.7277696793002918,0.8044986838956689,0.46363373298137894,0.7683192652892752,0.8573055028463002,0.9526837848730487,0.8083516483516485,0.7583736858783731,0.6473052016761771
8,8,LGBM,0.731655589213764,0.777307291666667,0.82295899411957,0.7233965014577262,0.7915057915057919,0.453303815464333,0.7601373497769908,0.8539983735429658,0.9482864170226328,0.7582417582417584,0.7565476190476192,0.5419361461627406
9,9,LGBM,0.7104675037284361,0.7575913344061032,0.8047151650837701,0.6931486880466474,0.759408866995074,0.3846678388634397,0.6473947705485307,0.7645161290322582,0.8816374875159856,0.7406593406593409,0.7565476190476192,0.4912298010076855
