,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7076721723585113,0.755390625,0.8031090776414886,0.6989795918367347,0.6927083333333334,0.39770833333333333,0.5811338529052841,0.708728652751423,0.836323452597562,0.6615384615384615,0.6206896551724138,0.32022132314301915
1,1,LGBM,0.7410830742882965,0.7861182787291161,0.8311534831699358,0.7168367346938775,0.7131782945736433,0.4343375887638154,0.6022026908207135,0.7277039848197343,0.8532052788187551,0.6615384615384615,0.6206896551724138,0.32022132314301915
2,2,LGBM,0.7099358146444944,0.7570492662473796,0.8041627178502647,0.6938775510204082,0.6825396825396826,0.389909649528623,0.5850357402702564,0.713472485768501,0.8419092312667456,0.6153846153846154,0.5454545454545454,0.2268266742857601
3,3,LGBM,0.7323783580452549,0.7773525966419368,0.8223268352386187,0.6836734693877551,0.6702127659574467,0.36804063038574103,0.5063224204676554,0.6432637571157495,0.7802050937638435,0.6,0.5666666666666665,0.19637973317055066
4,4,LGBM,0.7276922055985461,0.773286329808069,0.8188804540175919,0.6887755102040817,0.6871794871794872,0.38113015762643315,0.5872813800335468,0.7153700189753319,0.843458657917117,0.7076923076923077,0.6545454545454547,0.4183037369945186
5,5,LGBM,0.7588463012283545,0.8027923211169284,0.8467383410055024,0.7397959183673469,0.746268656716418,0.4792529499101352,0.5499576720793531,0.6821631878557876,0.814368703632222,0.6615384615384615,0.6206896551724138,0.32022132314301915
6,6,LGBM,0.7223638251379745,0.768768221574344,0.8151726180107135,0.7142857142857143,0.7200000000000001,0.4289288693579751,0.5341544675273444,0.6669829222011386,0.7998113768749329,0.6153846153846154,0.5614035087719298,0.22634795467253557
7,7,LGBM,0.7228828428674289,0.7696100169557845,0.81633719104414,0.7219387755102041,0.72264631043257,0.44659460979710486,0.5641980430590887,0.6925996204933585,0.8210011979276284,0.6615384615384615,0.6206896551724138,0.32022132314301915
8,8,LGBM,0.7415643800621148,0.7858333333333334,0.830102286604552,0.7091836734693877,0.6935483870967742,0.4241457546788854,0.5368003083776371,0.6688804554079696,0.800960602438302,0.6307692307692307,0.5862068965517241,0.25771565946645386
9,9,LGBM,0.7168822983930071,0.7634282436378806,0.8099741888827542,0.7040816326530612,0.6898395721925135,0.4069494892203817,0.5534753402632709,0.6850094876660341,0.8165436350687972,0.6307692307692307,0.5862068965517241,0.25771565946645386
