,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7430261135594431,0.7872863978127138,0.8315466820659845,0.7311224489795918,0.7456397515527953,0.45890216681438345,0.6542430160760344,0.7706424505285988,0.8870418849811632,0.7283516483516486,0.7565476190476192,0.4733932500788765
1,1,LGBM,0.7518241992964789,0.7960075119465985,0.840190824596718,0.7467201166180761,0.7836041717196218,0.49364245650973926,0.574298973254628,0.6992952019517485,0.8268042968085101,0.67956043956044,0.7565476190476192,0.3683460130045601
2,2,LGBM,0.7451023048522323,0.7892274223238693,0.8333525397955064,0.7247813411078721,0.7836041717196218,0.4496083230381828,0.69250860886347,0.8013282732447821,0.9101479376260939,0.7468131868131871,0.7565476190476192,0.501721655366625
3,3,LGBM,0.7531947235977622,0.7970462387853695,0.8408977539729768,0.735058309037901,0.7354687510979183,0.47584107994575225,0.6943913741493234,0.8064109514773654,0.9184305288054075,0.7503296703296707,0.7160646204255228,0.5019537310495074
4,4,LGBM,0.7554299307968079,0.7989243910155017,0.8424188512341955,0.7260204081632655,0.7760187353629979,0.4582429735404879,0.708779248641732,0.8145296828408785,0.920280117040025,0.7248351648351651,0.7011904761904764,0.47033236547048335
5,5,LGBM,0.7158355141647761,0.7630141287284146,0.8101927432920533,0.7011661807580177,0.8172757475083059,0.40742267037724705,0.5425664401694662,0.6758742206560046,0.8091820011425429,0.677802197802198,0.7565476190476192,0.3553451374336756
6,6,LGBM,0.7551021293616776,0.7986458508197641,0.8421895722778504,0.7283527696793004,0.7326102950096907,0.45924712970579706,0.5794556647136246,0.7075359175928441,0.8356161704720627,0.706813186813187,0.6503270538984827,0.42188140467543106
7,7,LGBM,0.7423931279541016,0.7868633767318394,0.831333625509577,0.7250000000000002,0.7314169202734307,0.4508223381037473,0.6437704378923264,0.7609379235565196,0.8781054092207129,0.7164835164835167,0.6867396323320619,0.43258791048639916
8,8,LGBM,0.7395098197994574,0.7842946821613699,0.8290795445232824,0.7291545189504376,0.7144439187775901,0.4580190706181932,0.55221413767149,0.6836812144212525,0.8151482911710152,0.6426373626373628,0.5896356339584723,0.28411915160139667
9,9,LGBM,0.7189112669393618,0.7656628150985464,0.8124143632577311,0.7033527696793005,0.6969587454577124,0.4199428266496074,0.7295483995020213,0.8294388723231231,0.929329345144225,0.735824175824176,0.6692069528490363,0.4949706444033556
