,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6883411455782265,0.7361510665829081,0.7839609875875896,0.7305641313499862,0.5070617956645274,0.24538789399094876,0.5922382142978675,0.7178910273786936,0.845288201207496,0.706813186813187,0.7432317156527684,0.4551875958721744
1,1,LGBM,0.6770348359859274,0.72550564029874,0.7739764446115527,0.7474038731406121,0.5050382014964716,0.24479275004452308,0.6507953639971146,0.7669558145838983,0.8849520781696087,0.7028571428571431,0.7487052897541147,0.46532547152244175
2,2,LGBM,0.6768613574057085,0.7246433537898193,0.77242535017393,0.7474038731406121,0.5104387429469694,0.25727647057077113,0.7464320964911357,0.8455679045811878,0.9447037126712398,0.7147252747252749,0.7514878120154969,0.47382948533539937
3,3,LGBM,0.6727862652097727,0.7213719268291375,0.7699575884485024,0.7474038731406121,0.505927044925325,0.24066211374958246,0.6834083925905262,0.7961236107346166,0.9088388288787069,0.7054945054945057,0.7265256237370068,0.4253187720651267
4,4,LGBM,0.6670398057229592,0.7163361950936651,0.765632584464371,0.7474038731406121,0.5136281544050992,0.25782181085678224,0.7205589508083876,0.8215505557061537,0.9225421606039199,0.7648351648351651,0.7834708237398916,0.5546346856007799
5,5,LGBM,0.6595077411973904,0.7082846082395076,0.7570614752816245,0.7474038731406121,0.50143104177462,0.23052640017402992,0.6620091605351179,0.7795066413662242,0.8970041221973304,0.7283516483516486,0.7346756177480249,0.4597751580792425
6,6,LGBM,0.6730870140505008,0.7206154127002024,0.7681438113499048,0.7474038731406121,0.5045072618861749,0.24242677094452567,0.6314412525988564,0.7531580374085121,0.8748748222181677,0.7063736263736267,0.7405456619859754,0.4501543530448474
7,7,LGBM,0.6662330493897771,0.7148596770989377,0.7634863048080983,0.7474038731406121,0.5064487415182196,0.23409933218700646,0.6650768613476831,0.7835998915695314,0.9025495460379152,0.7617582417582419,0.7774351479722327,0.5418493071273608
8,8,LGBM,0.6609946212421819,0.7101622022131664,0.759329783184151,0.7474038731406121,0.5006260498942784,0.22703569948554603,0.6689539472861024,0.7813228517213339,0.8960279787647933,0.7283516483516487,0.7548172868410084,0.48761223329177905
9,9,LGBM,0.6635819798172458,0.7122148306836549,0.760847681550064,0.7474038731406121,0.49911216491020843,0.22411209046087033,0.6882243910437151,0.8029005150447279,0.9175766390457406,0.7147252747252749,0.7391226725431959,0.4531290267120176
