,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7479164651595428,0.7882247264412867,0.8285329877230306,0.7367387033398821,0.7906249999999999,0.4370199437027171,0.5746800305949912,0.7020872865275142,0.8294945424600372,0.6615384615384615,0.6333333333333333,0.32030869099662634
1,1,LGBM,0.752687313173741,0.7917184265010352,0.8307495398283293,0.724950884086444,0.778481012658228,0.42277848641883975,0.6069417849760624,0.7305502846299811,0.8541587842838997,0.6615384615384615,0.5925925925925926,0.3240700409568569
2,2,LGBM,0.7228187531001675,0.7655368142677459,0.8082548754353243,0.7367387033398821,0.7879746835443039,0.4428137172168923,0.621979107681491,0.7428842504743832,0.8637893932672754,0.6461538461538462,0.6229508196721313,0.28992447831532236
3,3,LGBM,0.744599688612483,0.7853291760044172,0.8260586633963514,0.7328094302554028,0.7881619937694703,0.4289320401726057,0.5329390031367738,0.6669829222011386,0.8010268412655035,0.6307692307692307,0.6129032258064516,0.25996204933586337
4,4,LGBM,0.735109411559104,0.7756848759928677,0.8162603404266314,0.7210216110019646,0.778816199376947,0.4040908799006234,0.5969622190313468,0.7229601518026564,0.8489580845739659,0.6307692307692307,0.6363636363636364,0.26616017681406645
5,5,LGBM,0.735167896374235,0.776470588235294,0.8177732800963531,0.7288801571709234,0.775244299674267,0.4337551078611583,0.577880761152895,0.7068311195445921,0.8357814779362892,0.5846153846153846,0.5573770491803278,0.16635011050879153
6,6,LGBM,0.7140506550213529,0.757531239446133,0.8010118238709131,0.7269155206286837,0.7946824224519939,0.3893795594545252,0.5812158386104697,0.708728652751423,0.8362414668923764,0.6153846153846154,0.6031746031746031,0.2303318570256323
7,7,LGBM,0.7278882663552596,0.7692332917951072,0.8105783172349549,0.7092337917485265,0.7701863354037267,0.37532065021346217,0.5674911719826261,0.6973434535104365,0.8271957350382468,0.6153846153846154,0.5762711864406779,0.22680266997410503
8,8,LGBM,0.7591305780105194,0.7975570556091287,0.835983533207738,0.7170923379174853,0.7714285714285714,0.40266894018168947,0.5716184321087284,0.6992409867172676,0.8268635413258069,0.6461538461538462,0.6101694915254238,0.28900593389105367
9,9,LGBM,0.7543547271783448,0.7925918805472779,0.830829033916211,0.7072691552062869,0.7631160572337043,0.38317078333957777,0.5123920801466606,0.6480075901328274,0.7836231001189942,0.6,0.5517241379310345,0.19520999578988854
