,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6792061652858506,0.74268660632297,0.8061670473600894,0.7236363636363636,0.48648648648648646,0.29831529139597024,0.4588879964682107,0.5986717267552181,0.7384554570422255,0.5846153846153846,0.4905660377358491,0.1632381750155198
1,1,LGBM,0.7202967072241017,0.7796248934356351,0.8389530796471686,0.7418181818181818,0.48175182481751827,0.30986582880607294,0.38547410831498985,0.5284629981024668,0.6714518878899437,0.49230769230769234,0.45901639344262296,-0.019011441201004748
2,2,LGBM,0.7322110407240109,0.7931642479316425,0.8541174551392742,0.7527272727272727,0.5750000000000001,0.4055981286916643,0.4526655910090549,0.592979127134725,0.7332926632603951,0.5230769230769231,0.41509433962264153,0.03304821948166965
3,3,LGBM,0.729058366151706,0.7885103298296483,0.8479622935075906,0.7527272727272727,0.5750000000000001,0.4088618411841189,0.46480281181315003,0.6043643263757116,0.7439258409382732,0.5076923076923077,0.3333333333333333,-0.00754801327315789
4,4,LGBM,0.7616353334679469,0.8126721763085398,0.8637090191491328,0.7272727272727273,0.576271186440678,0.38520592760764144,0.42378908286443895,0.5664136622390893,0.7090382416137396,0.5384615384615384,0.46428571428571425,0.06818325569182102
5,5,LGBM,0.7493510926214653,0.8039327987781596,0.8585145049348539,0.7381818181818182,0.5384615384615384,0.35661131557100073,0.4229679897979889,0.5654648956356737,0.7079618014733585,0.5692307692307692,0.4814814814814815,0.13081726423946516
6,6,LGBM,0.7656220156008393,0.8192847213446227,0.8729474270884061,0.7745454545454545,0.5866666666666668,0.43710798744101353,0.4098932197247529,0.5521821631878557,0.6944711066509586,0.5384615384615384,0.34782608695652173,0.0618602616152682
7,7,LGBM,0.7294161421373024,0.7888461538461538,0.8482761655550051,0.7781818181818182,0.5850340136054422,0.43846725062748443,0.47799074799599145,0.6176470588235293,0.7573033696510671,0.5076923076923077,0.36,-0.004167580233819041
8,8,LGBM,0.7522980891627061,0.8119994476663904,0.8717008061700747,0.7963636363636364,0.5942028985507247,0.45877635778974557,0.46555211063492874,0.6062618595825425,0.7469716085301563,0.6153846153846154,0.5283018867924528,0.22833315278244487
9,9,LGBM,0.7271097896681075,0.786,0.8448902103318926,0.7527272727272727,0.5277777777777779,0.3612590028827366,0.3491748143911172,0.49240986717267554,0.6356449199542339,0.49230769230769234,0.44067796610169496,-0.02201038569368952
