,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7091878389670436,0.7679540170498579,0.8267201951326721,0.7563636363636363,0.5379310344827586,0.37708887411397274,0.4438610839203154,0.5844402277039847,0.725019371487654,0.5538461538461539,0.4727272727272728,0.09917529914658775
1,1,LGBM,0.7104229817888383,0.769907120743034,0.8293912596972297,0.7454545454545455,0.5833333333333334,0.4001834317743943,0.40305256855022875,0.5455407969639469,0.688029025377665,0.5076923076923077,0.42857142857142855,0.004870232549415787
2,2,LGBM,0.701418826336809,0.7638461538461537,0.8262734813554985,0.76,0.56,0.3976753903280229,0.4653706071840482,0.6053130929791272,0.7452555787742061,0.5846153846153846,0.509090909090909,0.1630009867161739
3,3,LGBM,0.7178390694077023,0.7768232149675448,0.8358073605273874,0.7745454545454545,0.5571428571428572,0.4201734910344188,0.5096519088696838,0.6451612903225806,0.7806706717754774,0.6153846153846154,0.4897959183673469,0.23509721665690894
4,4,LGBM,0.7081065470342102,0.7712600027126,0.8344134583909898,0.7709090909090909,0.5116279069767442,0.37083966707440646,0.46666738795023655,0.6062618595825425,0.7458563312148485,0.5384615384615384,0.39999999999999997,0.06355559856574038
5,5,LGBM,0.6829673621570456,0.7441245231942907,0.8052816842315358,0.7127272727272728,0.5269461077844311,0.3212420304258426,0.45711683229147637,0.5967741935483871,0.7364315548052979,0.5692307692307692,0.4814814814814815,0.13081726423946516
6,6,LGBM,0.7773469723992126,0.8293722552312064,0.8813975380632002,0.7709090909090909,0.5827814569536424,0.42622376905655907,0.3974227623237776,0.5407969639468692,0.6841711655699607,0.5230769230769231,0.43636363636363634,0.035349611577001575
7,7,LGBM,0.7171700037038082,0.7797212543554009,0.8422725050069935,0.7563636363636363,0.5379310344827587,0.3731750016835709,0.4807957868780155,0.6204933586337761,0.7601909303895367,0.6153846153846154,0.5454545454545454,0.2268266742857601
8,8,LGBM,0.6787900608978784,0.7427627627627627,0.8067354646276469,0.7272727272727273,0.5161290322580646,0.341612524212911,0.5021981821123078,0.6385199240986718,0.7748416660850357,0.6153846153846154,0.4897959183673469,0.23509721665690894
9,9,LGBM,0.736618956576099,0.7934864457831325,0.8503539349901661,0.7490909090909091,0.5766871165644172,0.39861471088219513,0.40527905699363875,0.5474383301707778,0.6895976033479169,0.49230769230769234,0.39999999999999997,-0.0284760759925846
