,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7318310206957206,0.7900763214569089,0.848321622218097,0.782753246753247,0.5458676879747134,0.4134187749423819,0.6187461111406571,0.7444564922743293,0.8701668734080015,0.6215384615384618,0.7011904761904764,0.3520952234895741
1,1,LGBM,0.7360734141407412,0.7947255072354255,0.8536124586242066,0.8003116883116881,0.5615620589136281,0.41561938146559413,0.6660022151273506,0.7757522363784226,0.8935819545136314,0.7041758241758244,0.7011904761904764,0.49041531847946673
2,2,LGBM,0.7383179165318932,0.7960139041070013,0.8537098916821096,0.7823376623376627,0.5503428298401442,0.41060198077650945,0.6348430948217052,0.7589590674979672,0.8830750401742291,0.622857142857143,0.7011904761904764,0.3504823646358054
3,3,LGBM,0.7338771376282789,0.7925851059810332,0.8517461441269303,0.8003116883116881,0.5814688550687634,0.4545117701753432,0.5915673840983815,0.7205475738682572,0.849527763638133,0.6281318681318684,0.7011904761904764,0.3686623134136223
4,4,LGBM,0.7310150669550035,0.7899667510484757,0.8489184351419479,0.7891948051948054,0.5750090304472424,0.44239421082317765,0.7457747419305579,0.8135267010029823,0.9669929457896922,0.7723076923076925,0.7297895858208157,0.5551892526481397
5,5,LGBM,0.7362239603096372,0.7940813087996375,0.8519386572896377,0.7756883116883119,0.5462166435323508,0.3985777812470687,0.6305325477646486,0.7489021415017623,0.867271735238876,0.6105494505494508,0.7011904761904764,0.32354653297332664
6,6,LGBM,0.7363542951363802,0.7945025881286133,0.8526508811208463,0.7958441558441561,0.5480241318406097,0.4410297166510052,0.6098070641034616,0.7317701274058013,0.8537541491773138,0.6193406593406596,0.7011904761904764,0.34862502755850944
7,7,LGBM,0.738402812914823,0.7962235991990029,0.8540443854831825,0.7879480519480522,0.5748046796793199,0.44020912906035203,0.6177354788514933,0.7407427487123883,0.8637500185732835,0.6347252747252748,0.6511102193686465,0.3716568162459673
8,8,LGBM,0.734835838720852,0.7929005931915216,0.8509653476621915,0.8003116883116881,0.5472003992106074,0.40751863885058137,0.611223789487177,0.733274600162646,0.855325410838115,0.630769230769231,0.7011904761904764,0.352622443564666
9,9,LGBM,0.739551109932568,0.7979805040238791,0.8565028575232438,0.7870129870129873,0.569027656475174,0.43571231392304854,0.6235007525157098,0.7454594741122258,0.8728901322813736,0.670769230769231,0.7011904761904764,0.38053788830268553
