,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.7765366640755234,0.8332177531206659,0.8898988421658085,0.8347012987012989,0.615408052796328,0.5238693952607596,0.6449543035162545,0.7621984277582002,0.8794425520001461,0.6153846153846156,0.4327083827928681,0.25674113786862085
1,1,RandomForestClassifier,0.7403301374462798,0.7964442930510431,0.8525584486558064,0.7748571428571429,0.521139433199163,0.4407110856936586,0.6323238552694517,0.7527649769585257,0.8732060986475998,0.5621978021978022,0.18820982938630004,0.218801402844357
2,2,RandomForestClassifier,0.785633284334025,0.8389393733893941,0.8922454624447631,0.8279480519480522,0.6296664960367322,0.5278106006827593,0.6339017324704946,0.7527107617240447,0.8718810958959043,0.6861538461538464,0.7173743800474932,0.3918031078557691
3,3,RandomForestClassifier,0.7508623929603925,0.810665783053843,0.8714182013876838,0.8196363636363639,0.5799170048371745,0.5004941992592024,0.6339303309047575,0.7532935754947143,0.872656820084671,0.6400000000000001,0.41382491712969083,0.3625660896755202
4,4,RandomForestClassifier,0.8154299551252487,0.8631293029259901,0.9113910565841894,0.8104935064935067,0.6057429987941759,0.5268228517240525,0.5729320017849042,0.7037950664136625,0.8346581310424206,0.555824175824176,0.20265306122448984,0.1989967584934075
5,5,RandomForestClassifier,0.7722164432819356,0.833071179691389,0.8939397983807738,0.8590129870129872,0.6562164248747986,0.6023866274099403,0.6187205696485456,0.7412306858227165,0.8637408019968872,0.61978021978022,0.4875274797886139,0.3254246670611647
6,6,RandomForestClassifier,0.7773736524166426,0.8285556446658937,0.8797376369151445,0.7715324675324677,0.5533848987381036,0.45354582173111246,0.6704279756747248,0.7845757657901874,0.8987235559056499,0.5771428571428572,0.22240896358543424,0.2548977583361577
7,7,RandomForestClassifier,0.7671911205842757,0.8219659359253271,0.8767407512663784,0.79387012987013,0.5927863326343423,0.46095473322235864,0.6312858015227916,0.752846299810247,0.8744067980977024,0.6215384615384617,0.5315223816388792,0.27299297224523456
8,8,RandomForestClassifier,0.7313099877986736,0.7896846846846849,0.8480593815706964,0.756883116883117,0.5203169707185509,0.40838890645319303,0.6243561248785939,0.7486717267552185,0.8729873286318431,0.6030769230769233,0.36307024214000966,0.26237224469986997
9,9,RandomForestClassifier,0.7392080417953071,0.79655580542076,0.8539035690462129,0.7991688311688314,0.5013031236884449,0.41376684438231237,0.6295191257192354,0.7475603144483602,0.8656015031774851,0.5854945054945057,0.2488762011981827,0.26779735376240604
