,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.7808169386513539,0.8325829279080055,0.884348917164657,0.7838961038961041,0.5499373544044045,0.4580313560656678,0.6435754161587246,0.7623475196530227,0.881119623147321,0.5854945054945058,0.6610329287073107,0.25099406451638073
1,1,RandomForestClassifier,0.7726907441732969,0.8275808591508895,0.8824709741284822,0.8170389610389613,0.6147832444076039,0.5400489970691427,0.6527945753978965,0.7699918677148281,0.8871891600317595,0.6057142857142859,0.4358196402861258,0.3025337359778869
2,2,RandomForestClassifier,0.7622105070691853,0.8150250040620319,0.8678395010548787,0.7942857142857146,0.552878624763768,0.46880715093609426,0.6467373730775523,0.7653700189753324,0.8840026648731125,0.614065934065934,0.3935681240029067,0.3291995870036483
3,3,RandomForestClassifier,0.7783910445735436,0.831557222201232,0.8847233998289206,0.8246233766233769,0.5977737774479788,0.5261194293575078,0.6592851378088307,0.7774058010300898,0.8985499408170764,0.6518681318681321,0.6905072293055521,0.3090128262263142
4,4,RandomForestClassifier,0.7417121091653138,0.8002321406997016,0.8587521722340894,0.7810909090909093,0.5403746439224212,0.47319039188444717,0.6072148775479258,0.733274600162646,0.8593343227773661,0.5573626373626376,0.1329545454545455,0.20259041168638608
5,5,RandomForestClassifier,0.7385456122491451,0.7931600651664803,0.8477745180838154,0.7633246753246755,0.5336889123827145,0.4358189909542392,0.6559750911178126,0.7728923827595556,0.8898096744012987,0.6074725274725277,0.3214177978883862,0.29944063430009893
6,6,RandomForestClassifier,0.7228984012443015,0.7841793554237355,0.846512879529639,0.8060259740259743,0.5257445585480921,0.46717971729815144,0.6356648313227032,0.7551233396584442,0.8745818479941851,0.5991208791208793,0.33549549087927866,0.2821181297557488
7,7,RandomForestClassifier,0.7698661494578235,0.8233767886688851,0.8793198152205791,0.8099740259740262,0.5510675800698249,0.5201724763829165,0.6635824506193942,0.7789780428300355,0.8943736350406766,0.6167032967032969,0.3596532167960741,0.3269366625000778
8,8,RandomForestClassifier,0.7607790563368716,0.81747269627454,0.8753676952823328,0.7864935064935067,0.5613635042631199,0.5136636728519648,0.6325679935784279,0.7514638113309843,0.8703596290835407,0.5542857142857145,0.12170550038197103,0.18827071809643672
9,9,RandomForestClassifier,0.7838532116715804,0.8349234459624072,0.885993680253234,0.8174545454545457,0.6011333773606817,0.5107304505476046,0.6598059895931704,0.7746950393060452,0.8895840890189202,0.5701098901098902,0.1902372639214745,0.23812689643887808
