,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.7407619674223668,0.801455108359133,0.8621482492958993,0.7490909090909091,0.6666666666666667,0.49560876748168936,0.4668567926398931,0.6076850094876661,0.7485132263354392,0.6,0.5357142857142857,0.1948093019766315
1,1,RandomForestClassifier,0.759105798725777,0.8168611947791165,0.8746165908324559,0.6509090909090909,0.596638655462185,0.38683708010593976,0.4270488434110803,0.5692599620493358,0.7114710806875914,0.49230769230769234,0.6117647058823529,0.020221178120220118
2,2,RandomForestClassifier,0.6951737053867004,0.7576456464046506,0.8201175874226008,0.6327272727272727,0.5738396624472573,0.3491280715772334,0.447342097408258,0.5877609108159393,0.7281797242236205,0.5076923076923077,0.6190476190476191,0.05740490395725047
3,3,RandomForestClassifier,0.7442536704452299,0.8047143612800847,0.8651750521149394,0.7018181818181818,0.5816326530612244,0.39082549766143077,0.5291857315333255,0.6617647058823529,0.7943436802313804,0.5846153846153846,0.619718309859155,0.1850688368777999
4,4,RandomForestClassifier,0.708655263072681,0.7722604808505498,0.8358656986284185,0.6654545454545454,0.6068376068376069,0.3747579345794564,0.599904224316867,0.722011385199241,0.8441185460816151,0.6307692307692307,0.625,0.2625593596547331
5,5,RandomForestClassifier,0.7226954426708648,0.7813019719648373,0.8399085012588098,0.7018181818181818,0.6168224299065421,0.3906945903565713,0.6323770786994514,0.7528462998102466,0.8733155209210419,0.676923076923077,0.6181818181818182,0.35447804942493244
6,6,RandomForestClassifier,0.6836985947418179,0.7510248611478444,0.8183511275538708,0.6363636363636364,0.5370370370370371,0.31407276985505067,0.5985621341737386,0.72438330170778,0.8502044692418214,0.6923076923076923,0.6428571428571428,0.38474837140384716
7,7,RandomForestClassifier,0.6992834212722533,0.7618683976072292,0.8244533739422052,0.6036363636363636,0.5439330543933055,0.29788066496030424,0.38398948012393574,0.5275142314990513,0.6710389828741669,0.4461538461538462,0.5609756097560976,-0.09913546315233436
8,8,RandomForestClassifier,0.7786191951902026,0.8312064279806215,0.8837936607710404,0.7672727272727272,0.6734693877551021,0.4949615819054366,0.5986672746358295,0.7267552182163187,0.854843161796808,0.6307692307692307,0.5200000000000001,0.26672513496441863
9,9,RandomForestClassifier,0.7677866559962744,0.8241505968778695,0.8805145377594646,0.6327272727272727,0.5809128630705394,0.3974914626473274,0.540738649922291,0.6740986717267553,0.8074586935312196,0.5846153846153846,0.6301369863013699,0.19127069695618767
