,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.7541476159661564,0.8094239926739929,0.8647003693818294,0.7934545454545456,0.570909157179802,0.4540339754177705,0.6827266161157104,0.7926809433450803,0.9026352705744499,0.6153846153846156,0.3700616456714019,0.3263417113882665
1,1,RandomForestClassifier,0.7781287411427253,0.8321223316912975,0.8864617583545201,0.8423896103896107,0.6070842431904381,0.5643652787105404,0.6053986554035591,0.7286256438059097,0.8518526322082602,0.5885714285714287,0.44841653917284174,0.23626329102714455
2,2,RandomForestClassifier,0.7126319971070895,0.7711255737234655,0.8307346049431361,0.7767272727272729,0.49695868706074,0.4211215525643744,0.644062963451618,0.7640417457305506,0.884020528009483,0.5731868131868133,0.19097593582887706,0.2426457005537051
3,3,RandomForestClassifier,0.7637818166398433,0.819170348551792,0.8745622426333615,0.8060259740259743,0.5599943492072837,0.501672937469719,0.6180645487401427,0.7428300352399027,0.8681745496862066,0.5969230769230771,0.280630017772875,0.280847637739319
4,4,RandomForestClassifier,0.7011438662798367,0.7632161172161175,0.8266471828875297,0.7635324675324677,0.4769772461429838,0.3532357377116978,0.6487108338281526,0.764990512333966,0.8812701908397794,0.6364835164835166,0.64957757296467,0.31337846645982903
5,5,RandomForestClassifier,0.7575981907598257,0.8133874784853703,0.8691767662109147,0.8027012987012989,0.5752424989598004,0.4992426203980357,0.592064943690123,0.7178232583355926,0.8435815729810622,0.5956043956043957,0.4504905620695096,0.29967427317302564
6,6,RandomForestClassifier,0.7316695734870957,0.7885048076077978,0.8453400417285,0.7598961038961042,0.4957555878034332,0.3895571522334961,0.7232616313435714,0.8247357007319059,0.9262097701202405,0.5846153846153848,0.2291127360034924,0.2692004864498483
7,7,RandomForestClassifier,0.721155396014861,0.7828246669372996,0.8446942368577469,0.803844155844156,0.5935325740449908,0.4857941031436714,0.5922492833572002,0.7176606126321499,0.8446971681082441,0.5780219780219782,0.38588365578789663,0.21843111447792346
8,8,RandomForestClassifier,0.7335186349865084,0.7934647619047621,0.854132418026947,0.8063376623376626,0.5374291384798798,0.4616985197024651,0.6099770554252522,0.7360260233125511,0.86207499119985,0.608791208791209,0.3558060285067822,0.3013528509427281
9,9,RandomForestClassifier,0.7519772535490519,0.8077193166334768,0.8644150577038606,0.7797402597402601,0.5015230424542314,0.4621180327247513,0.5679630565617659,0.6981973434535107,0.8284316303452555,0.5595604395604398,0.21821744914181906,0.1874885759092036
