,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.7659769520843678,0.8213170078652314,0.8766570636460953,0.8194285714285716,0.5890101604924733,0.5214741314091894,0.6552594992888149,0.7703307129303336,0.8854019265718525,0.5872527472527473,0.6365185698785448,0.2884824123489836
1,1,RandomForestClassifier,0.7643771620810498,0.8210641399416911,0.8777511178023326,0.8119480519480522,0.5367700800728326,0.5119723947538224,0.6686830972384816,0.7838303063160751,0.8989775153936687,0.586813186813187,0.3963251190867148,0.2731211098451977
2,2,RandomForestClassifier,0.7531013718757565,0.8086138120169537,0.8641791792720857,0.8064415584415586,0.6008723281192772,0.514047720788068,0.6793234260573318,0.7925725128761183,0.905821599694905,0.6087912087912086,0.6139099083134689,0.2675957389704754
3,3,RandomForestClassifier,0.6947368061294545,0.758375960203203,0.8220151142769514,0.7712207792207795,0.532859652284492,0.42579284337528855,0.6324652024569501,0.7544185416101927,0.8763718807634353,0.5881318681318682,0.3133234333234334,0.24151509059874718
4,4,RandomForestClassifier,0.7344639637586572,0.7940676190476192,0.8536712743365813,0.8045714285714287,0.5495513219004766,0.455460017267823,0.6272870730220297,0.7484142043914342,0.8695413357608389,0.571868131868132,0.38533989419943815,0.24698091700899655
5,5,RandomForestClassifier,0.7737658016185356,0.828662107530132,0.8835584134417285,0.8302337662337664,0.6008863490339351,0.5445093761266666,0.6423069961918751,0.7609514773651398,0.8795959585384046,0.600879120879121,0.5888255120560022,0.2950253134716163
6,6,RandomForestClassifier,0.7761549211156966,0.8272498894294562,0.8792521044200856,0.8100779220779224,0.6014321996411549,0.5303650725563357,0.6650582354092003,0.7854838709677422,0.9059095065262841,0.614945054945055,0.38014153029632913,0.2945874524105213
7,7,RandomForestClassifier,0.7398805885011284,0.7962426739926741,0.8533058385698843,0.7847272727272729,0.5573873623725563,0.42669561073366896,0.6988080841090527,0.8066413662239091,0.9157828206128872,0.6461538461538463,0.45532150776053226,0.3592136392875122
8,8,RandomForestClassifier,0.7224259639921311,0.7814544169874122,0.8416151854513638,0.7853506493506495,0.510978591484111,0.413649429033897,0.6601291345962974,0.7734209812957444,0.8867128279951915,0.6391208791208793,0.707428999745446,0.32740628970061275
9,9,RandomForestClassifier,0.7641968544297689,0.8184924796865098,0.8727881049432509,0.8044675324675327,0.5857550321138114,0.4693067525502904,0.6767780212119526,0.7887638926538358,0.9007497640957192,0.6167032967032969,0.4040615420652315,0.30653707846919376
