,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.7526755851465707,0.8088311857347391,0.8649867863229075,0.8036363636363636,0.5423728813559321,0.4726111837867848,0.6017261217250031,0.7248576850094878,0.8479892482939725,0.5692307692307692,0.17647058823529413,0.23036865898525322
1,1,RandomForestClassifier,0.7682279672482746,0.8235275122707311,0.8788270572931876,0.8072727272727273,0.5137614678899083,0.49962246548790884,0.6189212477420304,0.7395635673624289,0.8602058869828274,0.5384615384615384,0.0625,0.1309087345221607
2,2,RandomForestClassifier,0.6890628370103884,0.7530229369234606,0.8169830368365327,0.7709090909090909,0.47933884297520657,0.4094639569538922,0.5712593049532914,0.7020872865275142,0.832915268101737,0.5538461538461539,0.12121212121212122,0.18659643181640817
3,3,RandomForestClassifier,0.697684500529863,0.7618124769287561,0.8259404533276492,0.76,0.467741935483871,0.3890434423191188,0.5986587289544616,0.7224857685009488,0.846312808047436,0.5384615384615384,0.0625,0.1309087345221607
4,4,RandomForestClassifier,0.6868946075873895,0.7531333333333334,0.8193720590792773,0.8,0.49541284403669716,0.43972485128508043,0.5903212894214372,0.7163187855787475,0.8423162817360578,0.5692307692307692,0.17647058823529413,0.23036865898525322
5,5,RandomForestClassifier,0.71652582776324,0.7820682359164242,0.8476106440696083,0.8072727272727273,0.5137614678899083,0.4724291606052817,0.6149786896937123,0.7386148007590131,0.8622509118243139,0.5538461538461539,0.12121212121212122,0.18659643181640817
6,6,RandomForestClassifier,0.7518665084808587,0.8079256965944273,0.8639848847079958,0.7672727272727272,0.4754098360655737,0.40501539071321063,0.5910909335255673,0.7158444022770397,0.8405978710285121,0.5230769230769231,0.0,
7,7,RandomForestClassifier,0.6958033742765017,0.7578846153846153,0.8199658564927288,0.7709090909090909,0.4424778761061947,0.37942545409299466,0.5626404402348226,0.6921252371916508,0.8216100341484789,0.5230769230769231,0.0,
8,8,RandomForestClassifier,0.6705302097568675,0.7387088376936093,0.8068874656303511,0.7709090909090909,0.39999999999999997,0.3617092164435389,0.5938950824951057,0.7201138519924098,0.846332621489714,0.5384615384615384,0.0625,0.1309087345221607
9,9,RandomForestClassifier,0.7596061675178404,0.8132983729998655,0.8669905784818907,0.7890909090909091,0.5084745762711864,0.40616483590421487,0.5976560534739299,0.722011385199241,0.8463667169245521,0.5538461538461539,0.1714285714285714,0.14000486595492567
