,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.6829068249455659,0.7467742849586281,0.8106417449716901,0.7605194805194806,0.46012770078381154,0.3295195270703166,0.647892619443707,0.7667389536459748,0.8862769277175786,0.5973626373626375,0.3547041770530637,0.28989978910043257
1,1,RandomForestClassifier,0.6800252006848319,0.743443722371255,0.8075288982528522,0.780675324675325,0.48294509288134335,0.3786414898709425,0.5847424785939974,0.7125779343995666,0.8404133902051356,0.5670329670329672,0.17894452039188885,0.23496045274120236
2,2,RandomForestClassifier,0.669754605799805,0.7357974080930971,0.8018402103863895,0.7664415584415586,0.4410537095649756,0.340069542206449,0.6191971730827346,0.7404174573055031,0.8616377415282716,0.5863736263736266,0.22993155493155498,0.27095170377074224
3,3,RandomForestClassifier,0.6738870917573963,0.7397551668115013,0.8056232418656065,0.7668571428571431,0.5082835939820814,0.35604574306299624,0.6024561128343152,0.7262401734887507,0.850024234143186,0.5991208791208794,0.4256536023012413,0.26906873357442296
4,4,RandomForestClassifier,0.6779402421842855,0.7423876903313563,0.8068351384784271,0.7668571428571431,0.4855999325281062,0.3474988870478906,0.6110254597226754,0.7343453510436434,0.8576652423646115,0.5841758241758244,0.2967776584317939,0.25883031565748876
5,5,RandomForestClassifier,0.6728353946619327,0.7395473608644729,0.8080180994857973,0.7723636363636366,0.5224823943060372,0.36269036341505867,0.5919679938384541,0.7181349959338574,0.844301998029261,0.623736263736264,0.5083585639548523,0.3239832082328473
6,6,RandomForestClassifier,0.6975229540944609,0.7625467563380817,0.8275705585817024,0.7760000000000002,0.5347156352419512,0.37069855935894086,0.6073071149401599,0.7297099484955275,0.8528174519882062,0.5964835164835167,0.47856792524326697,0.28965632214584774
7,7,RandomForestClassifier,0.6864570829753592,0.7511939396229268,0.8159307962704946,0.765714285714286,0.44732173105047335,0.32881876202509763,0.6166272010584899,0.7394551368934673,0.8622830727284446,0.6578021978021976,0.5582681759831954,0.3884426472635062
8,8,RandomForestClassifier,0.6715748421202329,0.7373814561529454,0.8031880701856579,0.7684155844155847,0.44488779176835314,0.3455936150248521,0.6557385874515926,0.7751423149905126,0.8945460425294326,0.571868131868132,0.2220214146264567,0.2169758235307202
9,9,RandomForestClassifier,0.6833441214030853,0.7491772773642652,0.8150104333254451,0.770701298701299,0.5118805767420953,0.3523375125058343,0.6221085844398339,0.7437652480346979,0.8654219116295621,0.5767032967032969,0.40520734097897354,0.23098294543712058
