,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.6504997618952479,0.7181301243057392,0.7857604867162304,0.7381818181818182,0.37931034482758624,0.252446430580578,0.5566993970010887,0.6869070208728653,0.8171146447446418,0.5538461538461539,0.12121212121212122,0.18659643181640817
1,1,RandomForestClassifier,0.6497178083169751,0.7180309441946575,0.7863440800723399,0.7418181818181818,0.3603603603603604,0.2519679848554644,0.5823994762756516,0.7096774193548389,0.8369553624340261,0.5538461538461539,0.1714285714285714,0.14000486595492567
2,2,RandomForestClassifier,0.6843900895183588,0.7481486379264745,0.8119071863345901,0.7454545454545455,0.3636363636363636,0.2619426431583561,0.5574593645477854,0.6892789373814042,0.821098510215023,0.5538461538461539,0.12121212121212122,0.18659643181640817
3,3,RandomForestClassifier,0.6486751668581521,0.7151877810103148,0.7817003951624775,0.7454545454545455,0.37500000000000006,0.2664079403124495,0.5267621116554917,0.6622390891840607,0.7977160667126297,0.5076923076923077,0.0588235294117647,-0.06323845540771657
4,4,RandomForestClassifier,0.6364060009443988,0.7056664903464692,0.7749269797485396,0.7490909090909091,0.3669724770642202,0.27224731289117926,0.5707210511903942,0.6992409867172676,0.8277609222441411,0.5538461538461539,0.12121212121212122,0.18659643181640817
5,5,RandomForestClassifier,0.6532600422994564,0.7200806664903465,0.7869012906812366,0.7381818181818182,0.34545454545454546,0.23723954752442333,0.5950426446915472,0.7229601518026564,0.8508776589137655,0.5384615384615384,0.0625,0.1309087345221607
6,6,RandomForestClassifier,0.6479877175655684,0.7171713832319492,0.78635504889833,0.7527272727272727,0.3928571428571429,0.2905152728514175,0.5513856953134199,0.6821631878557876,0.8129406803981553,0.5846153846153846,0.2285714285714286,0.2681783347868999
7,7,RandomForestClassifier,0.6266493245512719,0.6973684210526315,0.7680875175539912,0.7381818181818182,0.35714285714285715,0.24230060777348156,0.5392475317319219,0.6726755218216317,0.8061035119113416,0.5384615384615384,0.0625,0.1309087345221607
8,8,RandomForestClassifier,0.6394095437031716,0.7099973551970378,0.7805851666909039,0.7381818181818182,0.32075471698113206,0.2271582497864344,0.5943270748499137,0.719639468690702,0.8449518625314905,0.5384615384615384,0.0625,0.1309087345221607
9,9,RandomForestClassifier,0.6489782877072414,0.7175350436392488,0.7860917995712562,0.7454545454545455,0.3636363636363636,0.2619426431583561,0.6068083534558719,0.7296015180265655,0.852394682597259,0.5230769230769231,0.06060606060606061,0.008232195521312127
