,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.7337580829890623,0.7918956043956045,0.8500331258021466,0.7345454545454545,0.3760683760683761,0.3538373439069131,0.6080756203505234,0.7314990512333964,0.8549224821162694,0.5384615384615384,0.0625,0.1309087345221607
1,1,RandomForestClassifier,0.7701918583434826,0.8255421846072467,0.8808925108710108,0.8,0.5132743362831859,0.4473829718964067,0.5726120773968251,0.700189753320683,0.8277674292445409,0.5384615384615384,0.0625,0.1309087345221607
2,2,RandomForestClassifier,0.7397340536076203,0.8016239100214836,0.8635137664353468,0.7927272727272727,0.5128205128205128,0.4666132339203703,0.6079717654389942,0.7300759013282733,0.8521800372175523,0.5384615384615384,0.0625,0.1309087345221607
3,3,RandomForestClassifier,0.6582088617076497,0.7232373569582873,0.7882658522089249,0.7527272727272727,0.423728813559322,0.36673729817817297,0.6168946580781232,0.7405123339658445,0.8641300098535658,0.5076923076923077,0.0,-0.11935796382902888
4,4,RandomForestClassifier,0.7455973157883172,0.8067333333333333,0.8678693508783494,0.8145454545454546,0.5233644859813085,0.49074074074074076,0.6256298529932383,0.7443074003795066,0.862984947765775,0.5384615384615384,0.0625,0.1309087345221607
5,5,RandomForestClassifier,0.6933696137521578,0.7582504832919083,0.8231313528316587,0.7854545454545454,0.4040404040404041,0.3508995060396874,0.5431818030113624,0.6745730550284631,0.8059643070455638,0.5384615384615384,0.0625,0.1309087345221607
6,6,RandomForestClassifier,0.7373406978501369,0.7939628482972136,0.8505849987442904,0.76,0.44999999999999996,0.38206222858762445,0.5672006915790395,0.6992409867172676,0.8312812818554958,0.5230769230769231,0.06060606060606061,0.008232195521312127
7,7,RandomForestClassifier,0.7265953256541532,0.7886996904024768,0.8508040551508004,0.7818181818181819,0.5,0.4528939900673526,0.6103974182337498,0.7319734345351044,0.8535494508364591,0.5230769230769231,0.06060606060606061,0.008232195521312127
8,8,RandomForestClassifier,0.6860028003482211,0.7493011667476908,0.8125995331471604,0.7563636363636363,0.41739130434782606,0.40239636386228544,0.5872134590683694,0.7129981024667932,0.838782745865217,0.5538461538461539,0.12121212121212122,0.18659643181640817
9,9,RandomForestClassifier,0.7586588059147535,0.8133436532507738,0.8680285005867941,0.7854545454545454,0.512396694214876,0.4636109682604002,0.5844532097023307,0.7106261859582544,0.8367991622141782,0.5538461538461539,0.12121212121212122,0.18659643181640817
