,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.7328858913470111,0.7901167168674701,0.8473475423879292,0.7869090909090911,0.5291784151222927,0.4525218367800195,0.6452309793778903,0.762049335863378,0.8788676923488657,0.575824175824176,0.2621224900216498,0.25678601233159215
1,1,RandomForestClassifier,0.734335342231981,0.7931963885030455,0.8522115563724367,0.7769350649350653,0.5510378850309054,0.42846861569440337,0.6476251563273865,0.7640281919219303,0.8804312275164743,0.6232967032967035,0.6519137386036343,0.32524714839699825
2,2,RandomForestClassifier,0.7680396635976499,0.8277292005869467,0.8874187375762436,0.8441558441558444,0.6022025542399441,0.5481636781407032,0.6443459156409864,0.7631878557874765,0.8820297959339665,0.6259340659340662,0.4386169826737779,0.34295501074929086
3,3,RandomForestClassifier,0.7653684395575907,0.8201349115438467,0.874901383530102,0.8027012987012994,0.5585901717089641,0.4903931137375372,0.6031933986386611,0.7257928978042832,0.8498821589535765,0.5938461538461541,0.35955803163837613,0.26010448793381213
4,4,RandomForestClassifier,0.7623136246162069,0.8165462879366625,0.8707789512571181,0.7875324675324678,0.5573878568498494,0.4835639772120823,0.6304283347817051,0.7513689346706428,0.8723095345595804,0.5956043956043957,0.343606442577031,0.2803567890026611
5,5,RandomForestClassifier,0.7304520541501573,0.7887140720162413,0.8469760898823253,0.8091428571428574,0.5918737956522442,0.5248189619592035,0.6850731222603582,0.7947546760639734,0.9044362298675886,0.5753846153846156,0.20639010149514359,0.2499963422733137
6,6,RandomForestClassifier,0.7198777234472277,0.781517216426461,0.8447108542414711,0.7964675324675328,0.5037492552881822,0.38563481469514,0.6364963435167781,0.7545811873136354,0.8726660311104928,0.6197802197802199,0.5671387342815917,0.28984505523801607
7,7,RandomForestClassifier,0.7499997073628175,0.8084085714285717,0.8668174354943261,0.8072727272727276,0.530078175590293,0.4645451296623352,0.584359904355705,0.7114258606668475,0.8384918169779902,0.5556043956043958,0.13388082505729568,0.19949146676976479
8,8,RandomForestClassifier,0.7539256717566676,0.8079942857142861,0.8650055548799815,0.8018701298701303,0.5161499270640865,0.44777519068147087,0.6286158006227167,0.747424776362158,0.8662337521015993,0.6096703296703299,0.5397453289412233,0.2941949585810463
9,9,RandomForestClassifier,0.7528932128434904,0.8080885337860283,0.863893926200498,0.8024935064935068,0.5794747330121632,0.47848675104575944,0.7057404076534799,0.8100027107617244,0.9155091772934885,0.6312087912087914,0.361112917428707,0.3749916103492774
