,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,RandomForestClassifier,0.6803808983928659,0.7462663152610441,0.8121517321292224,0.7527272727272727,0.5466666666666666,0.3834259538773435,0.4643876999126647,0.6048387096774194,0.745289719442174,0.5692307692307692,0.41666666666666663,0.13262937608548864
1,1,RandomForestClassifier,0.7075541171420734,0.7685115931189229,0.8294690690957724,0.76,0.5540540540540541,0.40076598608914565,0.4564165893200337,0.5986717267552181,0.7409268641904024,0.6153846153846154,0.4444444444444444,0.2489913958244677
2,2,RandomForestClassifier,0.7238004122235837,0.7894329534261995,0.8550654946288152,0.7854545454545454,0.556390977443609,0.4156786398537375,0.45254201049623555,0.594876660341556,0.7372113101868764,0.6153846153846154,0.4444444444444444,0.2489913958244677
3,3,RandomForestClassifier,0.729247341452199,0.7908552882779686,0.8524632351037381,0.7709090909090909,0.5935483870967742,0.43536754439649117,0.44368704361974043,0.5849146110056928,0.7261421783916451,0.5846153846153846,0.425531914893617,0.16941130349926678
4,4,RandomForestClassifier,0.6914802788020861,0.7522180359747204,0.8129557931473547,0.730909090909091,0.5375000000000001,0.35392955028588496,0.4179852021098647,0.5607210626185958,0.7034569231273269,0.5538461538461539,0.40816326530612246,0.09742767537133164
5,5,RandomForestClassifier,0.6752550957481916,0.7399962602842185,0.8047374248202454,0.730909090909091,0.5194805194805195,0.3374331015302909,0.4594575774321895,0.601518026565465,0.7435784756987406,0.6153846153846154,0.4680851063829787,0.24091607445674953
6,6,RandomForestClassifier,0.6929592279956543,0.7550654284508231,0.8171716289059919,0.730909090909091,0.4788732394366197,0.2979093869597688,0.5442893585113245,0.6774193548387096,0.8105493511660947,0.6307692307692307,0.45454545454545453,0.2926195242260063
7,7,RandomForestClassifier,0.7495863895167288,0.8069,0.864213610483271,0.7854545454545454,0.5693430656934307,0.4316333632734811,0.44191955812093986,0.583965844402277,0.726012130683614,0.6,0.38095238095238093,0.22622443021996258
8,8,RandomForestClassifier,0.6880031560142539,0.7503333333333333,0.8126635106524127,0.7454545454545455,0.5,0.33195686496194077,0.4115216840150302,0.558349146110057,0.7051766082050839,0.6153846153846154,0.5098039215686274,0.23101541386263652
9,9,RandomForestClassifier,0.7249197103475588,0.7845195040041333,0.8441192976607078,0.7490909090909091,0.5548387096774193,0.38038438765009397,0.41771173222993385,0.5616698292220114,0.7056279262140889,0.6,0.48000000000000004,0.1990019561648592
