,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1,MCC
0,0,LGBM,0.7343770223309452,0.7938423979384239,0.8533077735459027,0.7927272727272727,0.495575221238938,0.4060007679343228
1,1,LGBM,0.7629689626816796,0.8192968647514101,0.8756247668211405,0.7854545454545454,0.6040268456375839,0.4576063690791635
2,2,LGBM,0.7628763767710366,0.8163467492260061,0.8698171216809757,0.7745454545454545,0.5633802816901408,0.43448633226058353
3,3,LGBM,0.7677186627715427,0.8260723409977142,0.8844260192238858,0.8290909090909091,0.6412213740458015,0.5393154887324147
4,4,LGBM,0.7339019193366527,0.7922357573520366,0.8505695953674204,0.7636363636363637,0.5185185185185186,0.4033157170675674
5,5,LGBM,0.7309855475085757,0.7952913559790112,0.8595971644494468,0.7963636363636364,0.5625,0.43628330197945214
6,6,LGBM,0.7560739551179609,0.8164459930313588,0.8768180309447566,0.7927272727272727,0.5289256198347108,0.4084760907280066
7,7,LGBM,0.7840092252650085,0.8330092367525523,0.8820092482400962,0.7818181818181819,0.5714285714285714,0.46503890740304316
8,8,LGBM,0.779524121991109,0.8316108339272987,0.8836975458634885,0.7854545454545454,0.6143790849673203,0.4932922707749919
9,9,LGBM,0.817246749838314,0.8619360545937066,0.9066253593490992,0.8072727272727273,0.6293706293706294,0.5129639548693653
