,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test
0,0,RandomForestClassifier,0.6533027249022556,0.7421787859287858,0.8328757416497059,0.8161490683229812,0.36026822635460526,0.27540315386354863
1,1,RandomForestClassifier,0.6947426805163104,0.7773702273702273,0.8599977742241443,0.8229813664596273,0.34439560439560435,0.30078840354401715
2,2,RandomForestClassifier,0.646137540384689,0.7367492492492492,0.832623890416725,0.8243788819875775,0.3908629453082469,0.3121069447578553
3,3,RandomForestClassifier,0.7221110643522313,0.8038261475761475,0.8855412308000636,0.8316770186335403,0.4353244115620353,0.36593512258511013
4,4,RandomForestClassifier,0.6581847710202064,0.7432700557700557,0.8306308001006739,0.8296583850931676,0.418788285353099,0.3449725614369288
5,5,RandomForestClassifier,0.6621741963705108,0.7477048477048476,0.8353226146449775,0.8260093167701856,0.4280993436335573,0.29494570374880597
6,6,RandomForestClassifier,0.6343771604861905,0.727981552981553,0.8239991435856934,0.8209627329192546,0.3921422145106355,0.32084850608687293
7,7,RandomForestClassifier,0.6508458063061205,0.7401517589017588,0.8354116321473273,0.8330745341614905,0.39237106577532105,0.3520872925685241
8,8,RandomForestClassifier,0.6784564772317871,0.767095667095667,0.8557348569595469,0.8262422360248446,0.3688852377008298,0.31085997947783794
9,9,RandomForestClassifier,0.6569993881578818,0.7479515229515228,0.8389036577451638,0.8189440993788819,0.40361102681108674,0.281677219551333
