,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test
0,0,RandomForestClassifier,0.6115159026744114,0.704861111111111,0.7982063195478107,0.7934782608695652,0.24,0.16849253476663947
1,1,RandomForestClassifier,0.6102600098033328,0.701295045045045,0.7923300802867572,0.7880434782608695,0.20408163265306123,0.131336849842537
2,2,RandomForestClassifier,0.6388933282506299,0.727759009009009,0.8166246897673881,0.7934782608695652,0.1739130434782609,0.12348980723570589
3,3,RandomForestClassifier,0.5979596287195889,0.6924737237237237,0.7869878187278586,0.7934782608695652,0.20833333333333334,0.14715765799488348
4,4,RandomForestClassifier,0.5765252708830806,0.6742680180180181,0.7720107651529555,0.8043478260869565,0.28,0.22016357876174225
5,5,RandomForestClassifier,0.6011479815664936,0.696602852852853,0.7920577241392123,0.7989130434782609,0.21276595744680854,0.16456208633786523
6,6,RandomForestClassifier,0.6139348706789879,0.7046734234234234,0.795411976167859,0.7989130434782609,0.27450980392156865,0.20353097260484015
7,7,RandomForestClassifier,0.6086067110669662,0.7082394894894894,0.8078722679120127,0.7989130434782609,0.21276595744680854,0.16456208633786523
8,8,RandomForestClassifier,0.6039419731866214,0.695289039039039,0.7866361048914567,0.782608695652174,0.16666666666666666,0.09167198366894382
9,9,RandomForestClassifier,0.6173466867877483,0.7083333333333333,0.7993199798789182,0.7934782608695652,0.1739130434782609,0.12348980723570589
