,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test
0,0,LGBM,,0.8595505470505493,,0.9150197628458503,0.6183108645183348,0.5578295215810319
1,1,LGBM,,0.8583640458640481,,0.8743665754535344,0.6110719869736937,0.5580143568375346
2,2,LGBM,,0.8609798609798632,,0.8661447248403794,0.5677603344650807,0.5187683587835918
3,3,LGBM,,0.8618526743526767,,0.8676902807337613,0.6088614328875793,0.5415042897826435
4,4,LGBM,,0.8660513660513683,,0.8908989561163475,0.6263628063500624,0.5733224794834466
5,5,LGBM,,0.8546641046641043,,0.8696158913550239,0.6013283413006328,0.5422109143078017
6,6,LGBM,,0.8633183008183032,,0.8691344886997082,0.5853021133822075,0.5319099175743466
7,7,LGBM,,0.8587892962892985,,0.8700212830647636,0.6064494366713288,0.5457721267537724
8,8,LGBM,,0.8590832965832987,,0.9150197628458503,0.5769166667662887,0.5199968425433068
9,9,LGBM,,0.8616536116536139,,0.8689951352994825,0.5740530357590247,0.5309804691004862
