,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test
0,0,LGBM,,0.8704579579579577,,0.8878881987577638,0.639310513819297,0.6067414182363609
1,1,LGBM,,0.8677981552981551,,0.8770186335403725,0.6121285094677078,0.5656385986517016
2,2,LGBM,,0.8646610896610895,,0.8785714285714284,0.602458476780453,0.5663302535454409
3,3,LGBM,,0.8664843414843414,,0.8728260869565214,0.6163805478387012,0.554203434684945
4,4,LGBM,,0.8582743457743456,,0.8807453416149067,0.6247063413623009,0.5789811289231478
5,5,LGBM,,0.8668543543543542,,0.8849378881987575,0.6401356698699829,0.5966799931745391
6,6,LGBM,,0.8625858000858,,0.8804347826086956,0.6476333783910544,0.5889055421713146
7,7,LGBM,,0.8520565208065205,,0.8765527950310557,0.6208595577624607,0.5672003328572364
8,8,LGBM,,0.8604515229515228,,0.8891304347826086,0.67761442582801,0.6210625580874654
9,9,LGBM,,0.8719835907335904,,0.8795031055900616,0.6173018753781003,0.5745265639122271
