,Model name,Iteration,chi-squared,p-value
0,RandomForestClassifier,0,6,0.052478790283203125
1,RandomForestClassifier,1,9,0.4048728942871095
2,RandomForestClassifier,2,8,0.0755186975002289
3,RandomForestClassifier,3,6,0.7905273437500004
4,RandomForestClassifier,4,5,0.5810546875
5,RandomForestClassifier,5,12,0.12144948495551947
6,RandomForestClassifier,6,7,0.18924713134765628
7,RandomForestClassifier,7,5,1.0
8,RandomForestClassifier,8,6,0.16706848144531244
9,RandomForestClassifier,9,7,0.629058837890625
