,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1,MCC
0,0,RandomForestClassifier,0.7264266506959003,0.7889282434736979,0.8514298362514956,0.7927272727272727,0.5365853658536586,0.43660233645745405
1,1,RandomForestClassifier,0.6610051023001813,0.7265259699229116,0.792046837545642,0.7490909090909091,0.3783783783783784,0.3197005722740423
2,2,RandomForestClassifier,0.714939815827448,0.7771711847389559,0.8394025536504637,0.7854545454545454,0.48695652173913045,0.45311380227578046
3,3,RandomForestClassifier,0.7344169702815153,0.7916346153846153,0.8488522604877153,0.7890909090909091,0.5084745762711864,0.4395511825593459
4,4,RandomForestClassifier,0.777101237747964,0.8315853166599436,0.8860693955719232,0.8036363636363636,0.5,0.4446631740672598
5,5,RandomForestClassifier,0.7368432038149024,0.7944813224001042,0.8521194409853059,0.7745454545454545,0.4655172413793104,0.37921528797799664
6,6,RandomForestClassifier,0.7602741585376387,0.8148333333333333,0.8693925081290279,0.7890909090909091,0.4727272727272728,0.4031190398845734
7,7,RandomForestClassifier,0.7057105340724397,0.770061919504644,0.8344133049368483,0.7890909090909091,0.532258064516129,0.47244136442068924
8,8,RandomForestClassifier,0.730750562923855,0.7915679442508712,0.8523853255778874,0.8109090909090909,0.5,0.43989036403557824
9,9,RandomForestClassifier,0.6965344735379211,0.7630587146257605,0.8295829557135999,0.7963636363636364,0.5,0.4351592680852252
